idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
011961503,Abvz,Göttingischer Taschen-Kalender,für das Jahr ... ; mit Kupfern von Chodowiecky nebst d. neuesten Frauenzimmer- und Mannskleidungen in Kupfer,,,,013130951,
011961503,Abvz,Göttingischer Taschen-Kalender,für das Jahr ... ; mit Kupfern von Chodowiecky nebst d. neuesten Frauenzimmer- und Mannskleidungen in Kupfer,,,,1018169067,
011974702,Abvz,Berliner Beiträge zur Landwirthschaftswissenschaft,,,,,1059592118,
011987162,Abvz,"Der @durchlauchtigen Welt ... neu vermehrter und verbesserter Geschichts-, Geschlechts- und Wappen-Calender",auf d. Jahr ...,,,,1046058630,
012010677,Abvz,Neuer Zeitungen von Gelehrten Sachen auf das Jahr ... Theil,,,,,1027035574,
012032123,Abvz,Taschenbuch für die neuste Geschichte,,,,,1059593912,
012169153,Abvz,Göttinger Taschen Calender Für das Jahr ...,,,,,019637616,
012169153,Abvz,Göttinger Taschen Calender Für das Jahr ...,,,,,013130951,
012169153,Abvz,Göttinger Taschen Calender Für das Jahr ...,,,,,1018168699,
012170798,Abvz,"Beyträge zur Geschichte und Literatur, vorzüglich aus den Schätzen der Königl. Hof- und Centralbibliothek zu München",,,,,1046044303,
012187747,Abvz,Jahrbücher für Philologie und Pädagogik,eine krit. Zeitschr.,,,,1059596202,
012608971,Abvz,"Die @Neue Europäische Fama, Welche den gegenwärtigen Zustand der vornehmsten Höfe entdecket",,,,,1059603381,
01260903X,Abvz,"Die @europäische Fama, welche den gegenwärtigen Zustand der vornehmsten Höfe entdecket",,,,,1046050818,
012610534,Abvz,Mitteilungen des Freiberger Altertumsvereins,,,,,998924482,
012613436,Abvz,Westermanns illustrierte deutsche Monatshefte,ein Familienbuch für das gesamte geistige Leben der Gegenwart,,,,1046550020,
012613657,Abvz,Neues Taschenbuch für Aerzte und Nichtärzte,,,,,986474479,
01261386X,Abvz,Die @Kunst für alle,"Malerei, Plastik, Graphik, Architektur",,,,012613894,
01261386X,Abvz,Die @Kunst für alle,"Malerei, Plastik, Graphik, Architektur",,,,996422579,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,012613886,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,011254025,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,01261386X,
012621080,Abvz,Altes und Neues von Schulsachen,,,,,1071413538,
012645699,Abvz,Acta Eruditorum,Anno ... publicata,,,,01752993X,
012645699,Abvz,Acta Eruditorum,Anno ... publicata,,,,025233955,
012650064,Abvz,Der @Königlichen Pohlnischen Churfürstlichen Residentz Stadt Dreßden wöchentlicher Anzeiger oder Nachricht,,,,,,1098210115
012650080,Abvz,Dreßdnische Frag- und Anzeigen,,,,,,1220800694
012663921,Abvz,Monatliche Unterredungen einiger guten Freunde von allerhand Büchern und andern annehmlichen Geschichten,allen Liebhabern der Curiositäten zur Ergetzlichkeit und Nachsinnen herausgegeben,,,,1026420385,
012673455,Abvz,"Deutsche Acta eruditorum oder Geschichte der Gelehrten, welche den gegenwärtigen Zustand der Literatur in Europa begreiffen",,,,,987039911,
012673463,Abvz,"Zuverlässige Nachrichten von dem gegenwärtigen Zustande, Veränderung und Wachsthum der Wissenschaften",,,,,987039725,
012681717,Abvz,Fürstlich-Waldeckisches Regierungsblatt,,,,,1036530264,
012701041,Abvz,Über Land und Meer,deutsche illustrierte Zeitung,,,,01270105X,
012701041,Abvz,Über Land und Meer,deutsche illustrierte Zeitung,,,,1046045598,
012705233,Abvz,Miscellanea Lipsiensia ad incrementum rei litterariae edita,,,,,,1168167094
012705500,Abvz,Der @Patriot,,,,,012705519,
012705500,Abvz,Der @Patriot,,,,,1046050958,
012706442,Abvz,Musen-Almanach,,,,,1059621398,
012707457,Abvz,Olla potrida,eine Quartalschrift,,,,,1046081284
012707872,Abvz,Historisches Portefeuille,zur Kenntnis der gegenwärtigen und vergangenen Zeit,,,,1059621479,
012715786,Abvz,Churfürstlich-Sächsischer Hof- und Staatscalender,,,,,026411113,
012715786,Abvz,Churfürstlich-Sächsischer Hof- und Staatscalender,,,,,1059622394,
012720623,Abvz,Journal zur Kunstgeschichte und zur allgemeinen Litteratur,,,,,024205303,
012721514,Abvz,Journal von und für Deutschland,,,,,025933205,
012723738,Abvz,Taschenbuch und Almanach zum geselligen Vergnügen,,,,,015293629,120296916X
012723819,Abvz,Almanach und Taschenbuch zum geselligen Vergnügen,,,,,015293629,
012723819,Abvz,Almanach und Taschenbuch zum geselligen Vergnügen,,,,,102679563X,
012723878,Abvz,W. G. Beckers Taschenbuch zum geselligen Vergnügen,auf das Jahr ...,,,,014921111,
012723878,Abvz,W. G. Beckers Taschenbuch zum geselligen Vergnügen,auf das Jahr ...,,,,1016860439,
012724270,Abvz,Göttingisches Magazin der Wissenschaften und Litteratur,,,,,023769505,
01272727X,Abvz,Magazin für die neue Historie und Geographie,,,,,1046051547,
012727946,Abvz,Revolutions-Almanach,,,,,1047155877,
012728853,Abvz,Thalia,,,,,024354341,
012729078,Abvz,Theatrum Europaeum,das ist der die Geschichtserzaehlung von ... Jahren beschliessende ... Teil desselbigen oder ausführlich fortgeführte Friedens- und Kriegs-Beschreibungen und was mehr von denk- und merkwürdigsten Geschichten in Europa,,,,996968466,
012730025,Abvz,Nekrolog,auf das Jahr ... enthaltend Nachrichten von d. Leben merkwürdiger in diesem Jahre verstorbener Deutscher,,,,1046051962,
012730041,Abvz,Nekrolog der Teutschen für das neunzehnte Jahrhundert,,,,,1046052470,
01273005X,Abvz,Neuer Nekrolog der Deutschen,,,,,105962382X,
012730068,Abvz,Oeconomische Nachrichten,,,,,981591272,
012730068,Abvz,Oeconomische Nachrichten,,,,,1046049712,
012731692,Abvz,Das @Neueste aus der anmuthigen Gelehrsamkeit,,,,,987192426,
01274042X,Abvz,Histoire de l'Académie Royale des Sciences et des Belles Lettres de Berlin,depuis ... ; avec les mémoires tirez des registres de cette Academie,,,,,025399144
012740640,Abvz,Historischer Calender,,,,,101776672X,
012743119,Abvz,Leipziger Taschenbuch für Frauenzimmer zum Nutzen und Vergnügen,,,,,1066504474,
012747343,Abvz,Allgemeine Sammlung historischer Memoires vom zwölften Jahrhundert bis auf die neuesten Zeiten,,,,,995219710,
012747343,Abvz,Allgemeine Sammlung historischer Memoires vom zwölften Jahrhundert bis auf die neuesten Zeiten,,,,,1065484860,
012764744,Abvz,Gothaischer Hofkalender zum Nutzen und Vergnügen,,,,,01122164X,1046059068
012764744,Abvz,Gothaischer Hofkalender zum Nutzen und Vergnügen,,,,,010774475,1046059068
012764752,Abvz,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,01122164X,
012764752,Abvz,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,012764833,
012764752,Abvz,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,1046550012,
012764760,Abvz,Gothaischer genealogischer Kalender,,,,,01122164X,
012764760,Abvz,Gothaischer genealogischer Kalender,,,,,012764833,
012764760,Abvz,Gothaischer genealogischer Kalender,,,,,1046549782,
012765236,Abvz,"Journal der Erfindungen, Theorien und Widersprüche in der Natur- und Arzneiwissenschaft",hrsg. von Freunden d. Wahrheit u. Freimüthigkeit,,,,,1059625059
012765775,Abvz,"Gothaisches Jahrbuch für Diplomatie, Verwaltung und Wirtschaft",,,,,01122164X,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,012207888,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,019169167,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,019069936,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,019070047,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,1096364050,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,1025524756,
012767328,Abvz,Berthold Auerbach's deutscher Volkskalender,auf d. Jahr ...,,,,1059625326,
012801291,Abvz,Zeitschrift für Philosophie und katholische Theologie,,,,,1002008131,
012805009,Abvz,Aglaia,Jahrbuch für Frauenzimmer,,,,1075153220,
012807265,Abvz,Patriotisches Archiv für Deutschland,,,,,989290956,
012808628,Abvz,Neue Beyträge zum Vergnügen des Verstandes und Witzes,,,,,1046051024,
012813893,Abvz,Samuel Wilhelm Oetters wöchentlichen Wappenbelustigung ... Stück,,,,,1068962429,
012841641,Abvz,Daheim,ein deutsches Familienblatt mit Illustrationen,,,,,976794624
012944041,Abvz,Neuer Kinderfreund,,,,,1027137164,
012951668,Abvz,Kronos,genealogisch-historisches Jahrbuch für ..,,,,1059630982,
012973696,Abvz,Neues St.-Petersburgisches Journal,vom Jahre ...,,,,1046059394,
012976369,Abvz,Der @Kinderfreund,ein Wochenblatt,,,,1018217479,
01298406X,Abvz,Penelope,Taschenbuch d. Häuslichkeit u. Eintracht gewidmet auf d. Jahr ...,,,,980512999,
012997978,Abvz,Leipziger Musenalmanach,,,,,1016520980,
013021796,Abvz,"Neue Bilder Gallerie für junge Söhne und Töchter zur angenehmen und nützlichen Selbstbeschäftigung aus dem Reiche der Natur, Kunst, Sitten und des gemeinen Lebens",,,,,1027841457,
013021796,Abvz,"Neue Bilder Gallerie für junge Söhne und Töchter zur angenehmen und nützlichen Selbstbeschäftigung aus dem Reiche der Natur, Kunst, Sitten und des gemeinen Lebens",,,,,1007873337,
013034936,Abvz,Kirchen- und Ketzer-Almanach,,,,,025477102,
013034936,Abvz,Kirchen- und Ketzer-Almanach,,,,,1059633728,
013039296,Abvz,Physiognomischer Almanach,für das Jahr ...,,,,1059633868,
013042653,Abvz,Das @Heller-Magazin,"e. Zeitschr. zur Verbreitung gemeinnütziger Kenntnisse, besorgt von e. Gesellschaft Gelehrter",,,,1016366108,1224198492
013045784,Abvz,Historischer Calender für Damen,für das Jahr ...,,,,019324081,
013045784,Abvz,Historischer Calender für Damen,für das Jahr ...,,,,1025498615,
01305757X,Abvz,Deutscher Volkskalender,,,,,1016390629,
013090755,Abvz,Sammlung einiger ausgesuchten Stücke der Gesellschaft der Freyen Künste zu Leipzig,,,,,,1067860436
01312966X,Abvz,Neue Litteratur und Völkerkunde,ein periodisches Werk,,,,988684012,
013158090,Abvz,Genealogischer Schreib- und Postkalender,"welcher vorstellet d. Genealogie d. jetzt lebenden hohen Häupter u. anderer fürstl. Personen, wie auch d. Postkurse u. andere nützl. Sachen",,,,1028131992,
013464124,Abvz,Nova litteraria eruditorum in gratiam divulgata,,,,,,1067837582
013465139,Abvz,Historisch-genealogischer Kalender,auf das Jahr ... ; Deutschland ein histor. Gemälde,,,,1021439193,
013465600,Abvz,"Der @Hinkende und Stolpernde doch eilfertig fliegend und laufende Bote, Evangelisch verbesserter und Katholisch neuer, Europäisch allgemeiner Staats-Kriegs-Siegs-Geschichts-Kalender auf das Jahr …",,,,,,1090933886
013466216,Abvz,"Johann Peter von Ludewigs, ICti ... Gelehrte Anzeigen, In alle Wissenschafften, so wol geistlicher als weltlicher, alter und neuer Sachen, Welche vormals denen Wöchentlichen Hallischen Anzeigen einverleibet worden, Nunmehro aber zusammen gedrucket, Mit eingedruckten Kupfern und vollständigen Register versehen",,,,,,1059638827
013862553,Abvz,Illustrirte Zeitung,"Leipzig, Berlin, Wien, Budapest, New York",,,,019945728,
013862553,Abvz,Illustrirte Zeitung,"Leipzig, Berlin, Wien, Budapest, New York",,,,1020045264,
013888781,Abvz,Deutschlands Flora oder botanisches Taschenbuch,für d. Jahr ..,,,,1036381382,
013888781,Abvz,Deutschlands Flora oder botanisches Taschenbuch,für d. Jahr ..,,,,1065279647,
013901567,Abvz,Weltkrieg,Kriegs- & Ruhmesblätter 1914 - 1918,,,,019034377,
015178161,Abvz,"Mercurii Gallobelgici, sive rervm in Gallia et Belgio potissimvm: Vngaria qvoqve, Germania, Polonia, Hispania, Italia, Anglia, alibique gestarum ... nvncii tomvs",,,,,1046044494,
015224104,Abvz,"Kritik über gewisse Kritiker, Rezensenten und Broschürenmacher",,,,,1046549642,
015237338,Abvz,Allgemeine Moden-Zeitung,,,,,1010738178,
015238245,Abvz,Englische Miscellen,,,,,1059650126,
015244172,Abvz,Die @Akademie der Grazien,eine Wochenschrift zur Unterhaltung des schönen Geschlechts,,,,1059650231,
015255263,Abvz,Journal des dames,,,,,1059650320,
015293629,Abvz,Taschenbuch zum geselligen Vergnügen,auf das Jahr ...,,,,012723738,1020864036
015293629,Abvz,Taschenbuch zum geselligen Vergnügen,auf das Jahr ...,,,,012723819,1020864036
015293629,Abvz,Taschenbuch zum geselligen Vergnügen,auf das Jahr ...,,,,014921111,1020864036
015460630,Abvz,Leipziger Zeitungen,,,,,1046046101,
016179404,Abvz,Allergnädigst privilegirtes Leipziger Intelligenz-Blatt,"in Frag- und Anzeigen, für Stadt- und Land-Wirthe, zum Besten des Nahrungsstandes",,,,,1172820856
016259440,Abvz,Europäischer Mercurius oder Götter-Both,"das ist jetzt lebend- und regierender Potentaten Kriegs- und Friedens-Actiones, darinnen monatlich dem curieusen Liebhaber deroselben Staats-Maximen, getroffene Alliantzen, blutiggehaltene Scharmützel, hart-beschehene Belägerungen, glücklich-gethane Eroberungen etc., samt allem, was sich sonsten im ganzen Europa hin und wieder am Merck- und Denckwürdigsten begeben und zugetragen; von einer unparteyischen Feder vor Augen gestellt werden",,,,1061162753,
01631526X,Abvz,Der @breslauische  Erzähler,eine Wochenschrift,,,,1064029485,
016525507,Abvz,"Gesamlete Nachrichten und Documente den gegenwärtigen Zustand des Hertzogthums Schlesiens, Königreich Böhmens und Ertz-Herzogthum Oesterreichs betreffend",,,,,1024337375,
016698827,Abvz,Theatri Europæi ... Theil,"oder ausführlich fortgeführte Friedens- und Kriegsbeschreibung und was mehr von denckwürdigsten Geschichten in Europa, vornemlich aber in Hoch- und Nieder-Teutschland ... sich begeben haben",,,,996969756,
016698991,Abvz,Jubilaeum theatri Europaei,... oder ausführlich fortgeführte Friedens- und Kriegsbeschreibung ... was in Europa ... sich begeben haben,,,,1069655104,
017287278,Abvz,Der @Einsiedler,,,,,1046557785,
