idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
010730419,Abvz,Katalog,,,,,1007836164,
010743340,Abvz,Deutsche Musikbibliographie,,,,,011136057,
010743340,Abvz,Deutsche Musikbibliographie,,,,,010097813,
010743340,Abvz,Deutsche Musikbibliographie,,,,,976851474,
010745327,Abvz,Bibliographie illustrierte Bücher der Deutschen Demokratischen Republik,,,,,1007743026,
010746706,Abvz,Internationales Verlagsadreßbuch,,,,,016434366,
010752471,Abvz,Ver sacrum,Mittheilungen der Vereinigung Bildender Künstler Österreichs,,,,1007324384,
010753036,Abvz,Wolfenbütteler Bibliotheks-Informationen,,,,,025635220,
010753230,Abvz,Marsyas,eine Zweimonatsschrift,,,,997637579,
010756906,Advz,Mémoires couronnés et mémoires des savants étrangers,,,,,1059507080,
01076819X,Abvz,Magyar könyvészet,a Magyarországon megjelent könyvek bibliográfiája,,,,022183671,
01080997X,Abvz,Fotogeschichte,Beiträge zur Geschichte und Ästhetik der Fotografie,,,,023363207,
010840699,Abvz,Stamm,"Leitfaden durch Presse und Werbung ; Verzeichnis und Beschreibung periodischer Publikationen, Rundfunkanstalten und Werbemöglichkeiten in Deutschland",,,,018800394,
010841385,Abvz,Teuerdank,Fahrten u. Träume dt. Maler ; zwanglose Bilderfolgen lebender Künstler,,,,,1173928111
011138300,Abvz,Yearbook of labour statistics,,,,,025809326,
011138300,Abvz,Yearbook of labour statistics,,,,,1027735711,
011141840,Abvz,Die @neue Zeit,Wochenschrift der Deutschen Sozialdemokratie,,,,100443801X,
011141840,Abvz,Die @neue Zeit,Wochenschrift der Deutschen Sozialdemokratie,,,,025987968,
011142448,Abvz,Zeitschrift für Buchkunde,,,,,,1155194551
011157984,Abvz,Zeitschrift für Kunstgeschichte,ZfK,,,,977713636,
011157984,Abvz,Zeitschrift für Kunstgeschichte,ZfK,,,,975035274,
011162031,Abvz,"Annalen des Deutschen Reiches für Gesetzgebung, Verwaltung und Volkswirtschaft","staatsrechtl., volkswirtschaftl. u. statistisches Jahrbuch ; Materialiensammlung u. Reformzeitschr",,,,1015617522,
011168110,Abvz,Historisches Taschenbuch,,,,,1016762127,
011169850,Abvz,Nordisk tidskrift för bok- och biblioteksväsen,NTBB,,,,01971856X,
011169850,Abvz,Nordisk tidskrift för bok- och biblioteksväsen,NTBB,,,,979982936,
011182261,Abvz,Rang- und Quartier-Liste der Königlich-Preußischen Armee und des XIII. (Königlich-Württembergischen) Armeekorps,für ... ; mit Dienstalters-Listen der Generalität und der Stabsoffiziere ... ; nach dem Stande vom ...,,,,1046541269,
011186380,Abvz,Der @Monat,Jahrbuch,,,,026901757,
011186380,Abvz,Der @Monat,Jahrbuch,,,,99140808X,
011188375,Abvz,Monuments et mémoires  de la Fondation  Eugène Piot,,,,,1114766682,
011188596,Abvz,Musenalmanach,,,,,,1001978528
011188715,Abvz,Museumskunde,Fachzeitschrift für die Museumswelt,,,,1145351697,105465624X
011189819,Abvz,Mémoires couronnés par l'Académie Royale des Sciences et Belles-Lettres de Bruxelles,,,,,1059523884,
01119104X,Abvz,Scriptorium,revue internationale des études relatives aux manuscrits,,,,1071237357,
01119104X,Abvz,Scriptorium,revue internationale des études relatives aux manuscrits,,,,97578899X,
011197757,Abvz,Ulrich's periodicals directory,the global source for periodicals information since 1932 ; including irregular serials & annuals,,,,019030118,
011201509,Abvz,Reformations-Almanach,auf das Jahr ...,,,,1047432420,
01120317X,Abvz,Velhagen & Klasings Monatshefte,,,,,990781836,
011203501,Abvz,Die @Musik,Organ des Amtes Musik beim Beauftragten des Führers für die Überwachung der gesamten geistigen und weltanschaulichen Schulung und Erziehung der NSDAP,,,,,1081531495
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,987798928,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,010061088,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,987798928,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,01390809X,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,01207053X,
011221712,Abvz,Almanach des muses,ou choix des poésies fugitives,,,,1046059165,
011221798,Abvz,Almanach dramatischer Spiele zur geselligen Unterhaltung auf dem Lande,,,,,1046052594,
011228024,Abvz,Archiv für die Geschichte des Sozialismus und der Arbeiterbewegung,,,,,027366790,
011229667,Abvz,Simplicissimus,,,,,983270090,
01123802X,Abvz,Du,die Zeitschrift der Kultur,,,,1031099387,
01123802X,Abvz,Du,die Zeitschrift der Kultur,,,,1031726071,
011241608,Abvz,Bibliographie zur oberösterreichischen Geschichte,,,,,988427095,
011242116,Abvz,Volkskundliche Bibliographie,für d. Jahre ...,,,,,1237385601
011244518,Abvz,Allgemeine deutsche Bibliothek,,,,,025303007,02702105X
011244526,Abvz,Neue allgemeine deutsche Bibliothek,,,,,027021106,
011248777,Abvz,Handbuch für das Deutsche Reich,,,,,,1176562622
011249048,Abvz,Literarischer Handweiser,kritische Monatsschrift,,,,1046550004,
011251875,Abvz,Hof- und Staats-Handbuch des Grossherzogthums Baden,,,,,1046541013,
011252812,Abvz,Kladderadatsch,das deutsche Magazin für Unpolitische,,,,026111403,
011253851,Abvz,Die @graphischen Künste,,,,,991330781,
011254297,Abvz,Kunstchronik und Kunstmarkt,Wochenschrift für Kenner und Sammler,,,,,1084219182
011254394,Abvz,Der @Kunstwart,"Monatshefte für Kunst, Literatur und Leben",,,,1007346094,
011256680,Abvz,Literarisches Zentralblatt für Deutschland,,,,,019897553,
011256680,Abvz,Literarisches Zentralblatt für Deutschland,,,,,1046543075,
011270918,Abvz,Die @Gartenlaube,illustrirtes Familienblatt,,,,,1007759232
011273453,Abvz,Gesetz- und Verordnungsblatt für das Königreich Sachsen,,,,,995588430,
011273585,Abvz,Gesetzsammlung für die Königlich-Preußischen Staaten,enth. d. Verordnungen vom ..,,,,013188593,
011273585,Abvz,Gesetzsammlung für die Königlich-Preußischen Staaten,enth. d. Verordnungen vom ..,,,,01318878X,
