idn,akz,bbg,standort,signatur_g,signatur_a,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,einrichtung,exemplar
1066965331,L-1491-315495502,Aaf,DBSM/M/Boe,Bö Ink 126 - Fragm.,Bö Ink 126 - Fragm.,Opera : , : ,,,,,,,,,,1,02
1066965358,L-1492-315495529,Aa,DBSM/M/Bö,Bö Ink 176 - Fragm.,Bö Ink 176 - Fragm.,Confessionale Defecerunt : , : ,,,,,,,,,,1,02
1066965374,L-1485-315495588,Aa,DBSM/M/Bö,Bö Ink 168 - Fragm.,Bö Ink 168 - Fragm.,Summa theologica : P. 1-4, : ,,,,,,,,,,1,02
1066965382,L-1486-315495596,Aa,DBSM/M/Bö,Bö Ink 104 - Fragm.,Bö Ink 104 - Fragm.,Summa theologica : P. 1-4, : ,,,,,,,,,,1,02
1066965390,L-1487-31549560X,Aa,DBSM/M/Bö,Bö Ink 118 - Fragm.,Bö Ink 118 - Fragm.,Summa theologica : P. 1-4, : ,,,,1066941572,Qd,,,,,1,02
1066965447,L-1477-315495685,Aaf,DBSM/M/Boe,Bö Ink 131 - Fragm.,Bö Ink 131 - Fragm.,Historia Romana : P. 1-2, : ,,,,,,,,,,1,02
1066965501,L-1491-315495731,Aaf,DBSM/DA,(04.03.03.01.0835),Bö Ink 14,Meteorologica : , : ,,,,,,a,,,,1,02
1066965536,L-1492-315495766,Aaf,DBSM/M/Boe,Bö Ink 22,Bö Ink 22,Politica : , : ,,,,,,,,,,1,02
1066965579,L-1473-315495790,Aaf,DBSM/M/Boe,Bö Ink 65,Bö Ink 65,Ars et modus contemplativae vitae : , : ,,,,,,,,,,1,02
1066965625,L-1472-315495847,Aaf,DBSM/M/Boe,Bö Ink 7,Bö Ink 7,Elegantiolae : , : ,,,,,,,,,,1,02
106696565X,L-1467-31549588X,Aaf,DBSM/M/Boe,Bö Ink 13,Bö Ink 13,"De arte praedicandi [= De doctrina Christiana, liber 4] : ", : ,,,,,,,,,,1,03
1066965781,L-1489-315496029,Aa,DBSM/M/Bö,Bö Ink 183 - Fragm.,Bö Ink 183 - Fragm.,De trinitate : , : ,,,,,,,,,,1,02
1066965838,L-1489-315496088,Aaf,DBSM/M/Boe,Bö Ink 163 - Fragm.,Bö Ink 163 - Fragm.,Explanatio psalmorum : P. 1-3, : ,,,,,,,,,,1,02
1066965838,L-1489-315496096,Aaf,DBSM/M/Boe,Bö Ink 175 - Fragm.,Bö Ink 175 - Fragm.,Explanatio psalmorum : P. 1-3, : ,,,,,,,,,,1,03
1066965900,L-1487-315496185,Aaf,DBSM/M/Boe,Bö Ink 147 - Fragm.,Bö Ink 147 - Fragm.,Sermones ad heremitas : , : ,,,,,,,,,,1,02
1066965951,L-1494-315496258,Aaf,DBSM/M/Boe,Bö Ink 46,Bö Ink 46,Expositio mysteriorum missae : , : ,,,,,,,,,,1,03
1066965978,L-1495-315496266,Aaf,DBSM/M/Boe,Bö Ink 148 - Fragm.,Bö Ink 148 - Fragm.,Summa casuum conscientiae : , : ,,,,,,,,,,1,02
1066965986,L-1488-315496282,Aa,DBSM/M/Bö,Bö Ink 27,Bö Ink 27,Summa casuum conscientiae : , : ,,,,,,,,,,1,02
1066966079,L-1490-315496371,Aaf,DBSM/M/Boe,Bö Ink 182 - Fragm.,Bö Ink 182 - Fragm.,Cautelae : , : ,,,,,,,,,,1,02
106696615X,L-1493-315496452,Aaf,DBSM/M/Boe,Bö Ink 81,Bö Ink 81,Viatorium utriusque iuris : , : ,,,,,,,,,,1,02
1066966184,L-1477-315496487,Aa,DBSM/M/Bö,Bö Ink 127 - Fragm.,Bö Ink 127 - Fragm.,Liber Bibliae moralis : , : ,,,,,,,,,,1,02
1066966206,L-1489-315496495,Aaf,DBSM/M/Boe,Bö Ink 110 - Fragm.,Bö Ink 110 - Fragm.,Repertorium morale : , : ,,,,,,,,,,1,02
1066966249,L-1493-315496533,Aa,DBSM/M/Bö,Bö Ink 226 - Fragm.,Bö Ink 226 - Fragm.,Sermones de festivitatibus Virginis gloriosae : , : ,,,,1193133629,Qd,,,,,1,02
106696629X,L-1481-315496584,Aa,DBSM/M/Bö,Bö Ink 128 - Fragm.,Bö Ink 128 - Fragm.,Sermones de tempore et de sanctis et de diversis : , : ,,,,,,,,,,1,02
1066966370,L-1499-315496657,Aaf,DBSM/M/Boe,Bö Ink 93 - Fragm.,Bö Ink 93 - Fragm.,Repertorium iuris utriusque : , : ,,,,,,,,,,1,02
1066966389,L-1490-315496665,Aa,DBSM/M/Bö,Bö Ink 142 - Fragm.,Bö Ink 142 - Fragm.,Repertorium iuris utriusque. P. 1-3. : , : ,,,,,,,,,,1,02
1066966400,L-1474-315496681,Aaf,DBSM/M/Boe,Bö Ink 245 - Fragm.,Bö Ink 245 - Fragm.,"Biblia, dt. : ", : ,,,,,,,,"unvollständig: nur Blatt 382 und 83 Ausschnitte (31 Initialen in Rotdruck, 16 Holzschnittinitialen und 36 figürliche Holzschnittinitialen)",,1,01
1066966494,L-1489-315496789,Aa,DBSM/M/Bö,Bö Ink 86,Bö Ink 86,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966516,L-1493-315496800,Aa,DBSM/M/Bö,Bö Ink 214 - Fragm.,Bö Ink 214 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966559,L-1495-315496835,Aa,DBSM/M/Bö,Bö Ink 225 - Fragm.,Bö Ink 225 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966567,L-1486-315496843,Aa,DBSM/M/Bö,Bö Ink 100 - Fragm.,Bö Ink 100 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966567,L-1486-315496851,Aa,DBSM/M/Bö,Bö Ink 154 - Fragm.,Bö Ink 154 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,03
1066966575,L-1489-31549686X,Aa,DBSM/M/Bö,Bö Ink 223 - Fragm.,Bö Ink 223 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966613,L-1493-315496908,Aa,DBSM/M/Bö,Bö Ink 95 - Fragm.,Bö Ink 95 - Fragm.,"Biblia, lat. : ", : ,,,,1066941572,Qd,,,"nur vorh.: Bl. 58, 63, 345 m. Kolophon, rubriziert mit roter u. blauer Tinte",,1,02
106696663X,L-1496-315496924,Aaf,DBSM/M/Boe,Bö Ink 82,Bö Ink 82,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966664,L-1475-315496959,Aa,DBSM/M/Bö,Bö Ink 242 - Fragm.,Bö Ink 242 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966672,L-1480-315496967,Aa,DBSM/M/Bö,Bö Ink 205 - Fragm.,Bö Ink 205 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966680,L-1495-315496975,Aa,DBSM/M/Bö,Bö Ink 241 - Fragm.,Bö Ink 241 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966699,L-1497-315496991,Aa,DBSM/M/Bö,Bö Ink 218 - Fragm.,Bö Ink 218 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,02
1066966699,L-1497-315497009,Aa,DBSM/M/Bö,Bö Ink 221 - Fragm.,Bö Ink 221 - Fragm.,"Biblia, lat. : ", : ,,,,,,,,,,1,03
1066966710,L-1478-315497017,Aaf,DBSM/M/Bö,Bö Ink 231 - Fragm.,Bö Ink 231 - Fragm.,"Biblia, niederdt. : ", : ,,,,,,,,,,1,02
1066966710,L-1478-375750975,Aaf,DBSM/M/Bö,Bö Ink 275 - Fragm.,Bö Ink 275 - Fragm.,"Biblia, niederdt. : ", : ,,,,,,,,,,1,03
1066966761,L-1477-315497068,Aa,DBSM/M/Bö,Bö Ink 200 - Fragm.,Bö Ink 200 - Fragm.,Die @güldene Bibel : , : ,,,,,,,,,,1,02
1066966788,L-1483-315497084,Aaf,DBSM/M/Boe,Bö Ink 222 - Fragm.,Bö Ink 222 - Fragm.,Historiarum ab inclinatione Romanorum imperii decades : , : ,,,,,,,,,,1,02
1066966834,L-1488-315497130,Aa,DBSM/M/Bö,Bö Ink 50,Bö Ink 50,De consolatione philosophiae : P. 1-2, : ,,,,,,,,weitere hs. Vermerke ausgeschnitten,,1,02
1066966893,L-1473-31549719X,Aa,DBSM/M/Bö,Bö Ink 15,Bö Ink 15,Breviloquium : , : ,,,,,,,,"hs. Vermerk, gelöscht, 1476; war vermutl. Verf./Titel/Jahr",,1,02
1066967024,L-1494-315497327,Aa,DBSM/M/Bö,Bö Ink 172 - Fragm.,Bö Ink 172 - Fragm.,Liber sextus Decretalium : P. 1-2, : ,,,,,,,,,,1,02
1066967105,L-1491-31549736X,Aa,DBSM/M/Bö,Bö Ink 135 - Fragm.,Bö Ink 135 - Fragm.,Liber sextus Decretalium : , : ,,,,,,,,,,1,02
1066967121,L-1493-315497386,Aaf,DBSM/M/Boe,Bö Ink 35,Bö Ink 35,Recuperationes Faesulanae : , : ,,,,,,,,,,1,02
106696713X,L-1493-315497394,Aa,DBSM/M/Bö,Bö Ink 138 - Fragm.,Bö Ink 138 - Fragm.,Recuperationes Faesulanae : , : ,,,,,,,,,,1,02
1066967164,L-1478-315497424,Aaf,DBSM/M/Boe,Bö Ink 133,Bö Ink 133,"Bücheranzeige (für sechzehn Bücher) von Lukas Brandis, niederdt. : ", : ,,,,,,,,,,1,02
1066967180,L-1493-315497440,Aaf,DBSM/M/Boe,Bö Ink 177 - Fragm.,Bö Ink 177 - Fragm.,Breviarium Augustanum : , : ,,,,,,,,,,1,02
1066967210,L-1488-315497475,Aaf,DBSM/M/Boe,Bö Ink 243 - Fragm.,Bö Ink 243 - Fragm.,Die @heiligen Reisen gen Jerusalem : , : ,,,,,,,,,,1,02
106696730X,L-1495-315497564,Aaf,DBSM/M/Boe,Bö Ink 208 - Fragm.,Bö Ink 208 - Fragm.,Opera : P. 1-7, : ,,,,,,,,,,1,02
1066967407,L-1491-315497653,Aaf,DBSM/M/Boe,Bö Ink 31,Bö Ink 31,Expositio in Psalterium : , : ,,,,,,,,,,1,02
1066967423,L-1500-315497688,Aaf,DBSM/M/Boe,Bö Ink 44,Bö Ink 44,Septenaria sodalitas litteraria Germaniae : , : ,,,,,,,,,,1,02
1066967482,L-1476-315497750,Aaf,DBSM/M/Boe,Bö Ink 155 - Fragm.,Bö Ink 155 - Fragm.,Constitutiones : , : ,,,,,,,,,,1,03
1066967512,L-1479-315497769,Aa,DBSM/M/Bö,Bö Ink 140 - Fragm.,Bö Ink 140 - Fragm.,Constitutiones : , : ,,,,,,,,,,1,02
1066967547,L-1495-315497793,Aaf,DBSM/M/Boe,Bö Ink 180 - Fragm.,Bö Ink 180 - Fragm.,Concordantiae utriusque iuris : [mit anonymem Kommentar], : ,,,,,,,,,,1,02
