idn        ,akz              ,bbg ,standort  ,signatur_g ,signatur_a ,titel                                                                                                                                                    ,stuecktitel ,umfang                     ,f4243 ,f4256 ,f4241 ,f4105_9    ,f4105_g ,ausleihcode ,sig_komm ,f4801_a ,bibliothek ,einrichtung ,exemplar ,wert

1003855970 ,L-1625-18108483X ,Aal ,DBSM/M/Bö ,Bö M 5     ,Bö M 5     ,"Christliche Leich- und Ehrn Predigt ... Justina Adler, Ehefrau des Weißgerbers Hieronymus Adler zu Adorf [gestorben] 2. Apr. 1625 : "                   ,:           ,[18] Bl.                   ,      ,      ,      ,1262275857 ,Qd      ,            ,         ,        ,           ,          1 ,      02 ,

 997039531 ,L-1597-430080735 ,Aal ,DBSM/M/Bö ,Bö M 136   ,Bö M 136   ,"Egesippi, des christlichen Geschichtsschreibers fünff Bücher: Von jüdischen Krieg, und endlicher Zerstörung der herrlichen und gewaltigen Statt Jerusa" ,:           ,"[5] Bl., 214 S., [5] Bl." ,      ,      ,      ,1149184833 ,Qd      ,            ,         ,        ,           ,          1 ,      03 ,
