idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010051139,Abvz,Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft,,,,,,01897032X,,,,
010051139,Abvz,Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft,,,,,,983476632,,,,
010058001,Abvz,The @English catalogue of books,"giving in one alphabet, under author, subject and title the size, price, date of publication and publisher of books iss. in the United Kingdom",,,,,,,011262877,,
010069933,Abvz,Bericht über die Tätigkeit des Bezirksvorstandes der Sozialdemokratischen Partei Leipzigs,für das Jahr ..,,,,,,,,,
010073396,Abvz,Bibliographie de Belgique,,,,,,,,,,
010074252,Abvz,Studio,international art,,,,,012170623,,,,
010074252,Abvz,Studio,international art,,,,,1033731560,,,,
010084061,Abvz,Bindereport,Fachmagazin für Buchbinderei und Druckverarbeitung,,,,,1023932768,,,,
010085262,Abvz,Archiv für Buchgewerbe und Gebrauchsgraphik,,,,,,,,,,
010085548,Abvz,Statistisches Jahrbuch für das Deutsche Reich,,,,,,980433444,,,,
010086358,Abvz,Jahres-Verzeichnis der an den deutschen Universitäten und Hochschulen erschienenen Schriften,,,,,,,,,,
010098593,Abvz,Jahresbericht,,,,,,,,,,
010098836,Abvz,Mitteilungen für die Archivpflege in Bayern,,,,,,,,,,
010102035,Abvz,Die @Weltbühne,"Wochenschrift für Politik, Kunst, Wirtschaft",,,,,,,,,
010107460,Abvz,Internationales ISBN-Verlagsverzeichnis,einschließlich Verlagsadressen aus Ländern ohne ISBN-System ; alphabet. Gesamt-Adressenverzeichnis ; numer. ISBN-Adressenverzeichnis ; alphabet. Verlagsreg. nach Ländern geordnet,,,,,,,,,
010112472,Abvz,Studien zum Buch- und Bibliothekswesen,,,,,,,,,,
010127194,Abvz,Beiträge zur ältern Litteratur oder Merkwürdigkeiten der Herzogl. Öffentlichen Bibliothek zu Gotha,,,,,,1059647249,,,,
010134255,Abvz,Almanach des Verlages der Kommunistischen Internationale,,,,,,,,,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,013018086,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,011950552,,
