idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
018802834,Abvz,Jahresbericht ...,,,,,,,,010698698,,
018802834,Abvz,Jahresbericht ...,,,,,,,,024179426,,
018986617,Abvz,Einband-Forschung,"Informationsblatt des Arbeitskreises für die Erfassung, Erschliessung und Erhaltung Historischer Bucheinbände (AEB)",,,,,,,,,
019279949,Abvz,BIT online,"Bibliothek, Information, Technologie",,,,,021489815,,,,
020478526,Abvz,Paper history,journal of the International Association of Paper Historians,,,,,1064906893,,,,
020972563,Abvz,Britannica book of the year,,,,,,016770536,,,,
022724699,Abvz,Neues Bauen in den Alpen,Architekturpreis,,,,,,,,,
022724699,Abvz,Neues Bauen in den Alpen,Premio d'architettura,,,,,,,,,
022724699,Abvz,Neues Bauen in den Alpen,architecture prize,,,,,,,,,
023478020,Abvz,Journal,,,,,,02401561X,,,,
024179426,Abvz,Börsenblatt,,,,,,021603596,,,,
024824119,Abvz,Quart-Heft für Kultur Tirol,Kulturzeitschrift des Landes Tirol,,,,,1016803850,,,,
024879037,Abvz,Die @österreichische Papierindustrie ...,ein Wirtschaftszweig lebt Nachhaltigkeit,,,,,,,010434305,,
024879037,Abvz,Die @österreichische Papierindustrie ...,the annual report of the Austrian paper industry ...,,,,,,,010434305,,
026882981,Abvz,Aus der bibliophilen Welt,Mitteilungen der Wiener Bibliophilen-Gesellschaft,,,,,,,,,
977217949,Abvz,Icon news,the magazine of the Institute of Conservation,,,,,1019460717,,,,
978967720,Abvz,Bundesvoranschlag,,,,,,,,010016600,,
985893478,Abvz,Jahresbericht,,,,,,,,,,
992174023,Abvz,Wissenschaftliches Jahrbuch der Tiroler Landesmuseen,,,Bände,,,1250178312,,,,
99380716X,Abvz,Verzeichniß neuer Bücher ... Leipziger Michaelismesse,"welche nebst einem Sortiment der brauchbarsten alten Bücher in allen Wissenschaften und Sprachen zu bekommen sind bey Friedrich Nicolovius, Buchhändler zu Königsberg",,,,,,,,,
1000395898,Aal,Die @Druckorte des XV. Jahrhunderts nebst Angabe der Erzeugnisse ihrer erstjährigen typographischen Wirksamkeit,mit e. Anh.: Verz. d. je ersten Typographen u. jener Druckorte deren altereste Drucker bis jezt unbekannt geblieben sind,,"[1] Bl., X, 36 S., [1] Bl.",,,,,,1268960594,Qd
1001280369,Aal,"De librariis et bibliopolis antiquorum disputabunt d. 19. Martii, MDCCX. h. 1. q. c.",,,[12] Bl.,,,,,,1268385603,Qd
1005903883,Abvz,Katalog,,,,,,,,,,
101905655X,Abvz,Augusta,Wolfenbütteler Bibliotheks-Informationen,,,,,1033293687,,,,
1032687681,Aa,Flaviano Myrmeico v. c. suo salutem,,,[46 von 122] Bl.,,,,,,,
1036843505,Aa,Noviciis Adolescentibvs: Ad Astronomicam rempu. capessenda[m] aditu[m] i[m]petra[n]tib[us] ... Ioannis de sacro busto sph[a]ericum opusculu[m] Georgiiq[ue] Purbachii i[n] mot[us] planetaru[m] accuratiss. theoric[a]e Necno[n] contra Cremonensia in eorunde[m] planetaru[m] theoricas delirame[n]ta Ioa[n]nis de mo[n]te regio disputatio[n]es ... opus utili serie contextu[m] inchoat,,,58 Bl.,,,,,,1138321850,Qd
1036845559,Aa,Clarissimi Viri Hyginii Poeticon Astronomicon. Opvs Vtilissimum Foeliciter Incipit De mundi & sph[a]er[a]e ac utriusq[ue] p[ar]tiu[m] declaratione,,,"56 Bl. a-g8 [unvollst., es fehlen Bl. 33 - 56]",,,,,,1138321850,Qd
1048166694,Aa,Missale Romanum,,,254 Bl.,,,,,,,
1048169669,Aa,Etymologiae,,,142 Bl.,,,,,,,
1048306054,Aa,Pantheologia,,,865 Bl.,,,,,,,
1051419549,Aa,Missale Benedictinum,,,263 Blätter,,,,,,,
1060136910,Aa,Indulgentiae et beneficia benefactoribus hospitalis ordinis S. Spiritus in Roma concessa,,,"1 Bl. eins. bedr.,  21 Z.",,,,,,,
1060137496,Aa,Forma confessionalis et absolutionis ad opus sanctae cruciatae,,,"1 Bl., 23 Z.",,,,,,,
106478058X,Aal,"Biblia, deutsch",,,405 Bl.,,,,,,1064781187,Qd
1064781187,Qd,"[Sammelband mit Bibel, Handschrift und angebundener Inkunabel]",,,[432] Bl.,,,,1142397084,,,
1064848419,Hal,Bibel der Armen,,,26 Bl.,,,,,,1064781187,Qd
1066873151,Aa,Margarita decreti,,,"192 Bl., Gez. [6]I–LXXXv[1]",,,,,,,
1066941572,Qd,Konvolut von Inkunabelblättern (Fragmente),,,[24] Blätter mit aufgelegten Fragmenten,,,,,,,
1066957983,Aaf,Canones iuxta regulam,,,148 Bl.,,,,,,,
106696291X,Aaf,"Biblia, lat.",,,1211 Bl.,,,,,,,
1066963428,Aaf,Breviarium Moguntinum,,,[432] Bl.,,,,,,,
1066963800,Aaf,"Philosophia pauperum sive Isagoge in libros Aristotelis physicorum, de caelo et mundo, de generatione et corruptione, meteororum et de anima [Version B]",,,54 Bl.,,,,,,,
1066964637,Aaf,De conflictu vitiorum et virtutum,,,8 Bl.,,,,,,1268950890,Qd
1066964645,Aaf,Sermones de tempore et de sanctis,,,240 Bl.,,,,,,,
106696467X,Aaf,De consensu evangelistarum,,,108 Bl.,,,,,,,
1066964696,Aaf,Sermones notabiles et formales de praecipuis festivitatibus,,,254 Bl.,,,,,,,
106696470X,Aaf,De arte loquendi et tacendi,,,10 Bl.,,,,,,,
1066964734,Aaf,Epistolae,,,328 Bl.,,,,,,,
1066964769,Aaf,Distinctiones dictionum theologicalium,,,96 Bl.,,,,,,,
1066964777,Aal,Confessionale Defecerunt scrutantes scrutinio,,,96 Bl.,,,,,,1268957623,Qd
1066964793,Aaf,"Biblia, lat.",,,"3 Bände, 1361 Bl.",,,,,,,
106696484X,Aaf,Epistola ad Rabbi Isaac seu rationes ad reprobandos Iudaeorum errores,,,22 Bl.,,,,,,,
1066964866,Aaf,De trinitate,,,80 Bl.,,,,,,,
1066964874,Aaf,Summa theologica,,,218 Bl.,,,,,,,
1066964882,Aaf,Summa theologica,P. 1-4,,P. 1: 174 Bl. - P. 2: 226 Bl. - P. 3: 312 Bl. - P. 4: 258 Bl. - Tabula: 86 Bl.,,,,,,,
1066964890,Aaf,Historia Alexandri Magni,,,38 Bl.,,,,,,,
1066964912,Aa,"Biblia, lat.",,,P. 1: 468 Bl. - P. 2: 370 Bl. - P. 3: 348 Bl. - P. 4: 386 Bl.,,,,,,,
1066964920,Aaf,Fortalitium fidei,,,248 Bl.,,,,,,,
1066964939,Aaf,Sermones Discipuli,,,"4 Teile: 524, 150, 174, 36 ungezählte Blätter",,,,,,,
1066964998,Aaf,Almanach,,,"1 Blatt, einseitig bedruckt",,,,,,,
1066965021,Aa,De remediis utriusque fortunae,,,155 Blätter,,,,,,,
1066965048,Aaf,Glossae Clementinae,,,84 Bl.,,,,,,,
1066965056,Aaf,Ehebüchlein,,,120 Bl.,,,,,,,
1066965064,Aaf,Mensa philosophica,,,96 Bl.,,,,,,,
1066965072,Aaf,"Summa theologiae, P. 2,1",,,177 Bl.,,,,,,,
1066965080,Aaf,Aurea verba,,,24 Bl.,,,,,,,
1066965099,Aaf,De planctu naturae,,,60 Bl.,,,,,,,
1066965102,Aa,De arte loquendi et tacendi,,,12 Bl.,,,,,,,
1066965110,Aaf,Paradisus animae sive Tractatus de virtutibus,,,34 Bl.,,,,,,,
1066965129,Aa,Sermones de tempore et de sanctis,,,198 Bl.,,,,,,,
1066965137,Aaf,Summa de eucharistiae sacramento,,,110 Bl.,,,,,,,
106696517X,Aa,Flores astrologiae,,,20 Blätter,,,,,,,
1066965188,Aaf,Destructorium vitiorum,,,272 Bl.,,,,,,,
1066965196,Aaf,Epistola ad Rabbi Isaac seu rationes ad reprobandos Iudaeorum errores,,,28 Bl.,,,,,,,
106696520X,Aaf,Compilatio astronomica,,,30 Bl.,,,,,,,
1066965218,Aaf,Alphabetum divini amoris,,,36 Bl.,,,,,,,
1066965226,Aaf,Super feudis,,,174 Bl.,,,,,,,
1066965250,Aaf,Expositio in evangelium S. Lucae,,,159 Bl.,,,,,,,
1066965277,Aaf,Modus confitendi,,,16 Bl.,,,,,,,
1066965293,Aa,Summa angelica de casibus conscientiae,,,388 Bl.,,,,,,,
1066965307,Aa,Summa angelica de casibus conscientiae,,,358 Bl.,,,,,,,
1066965315,Aa,Summa angelica de casibus conscientiae,,,268 Bl.,,,,,,,
106696534X,Aa,Confessionale Defecerunt scrutantes scrutinio,,,148 Bl.,,,,,,,
1066965390,Aa,Summa theologica,P. 1-4,,P. 1: 274 Bl. - P. 2: 358 Bl. - P. 3: 490 Bl. - P. 4: 366 Bl. - Tabula: 136 Bl.,,,,,,1066941572,Qd
1066965404,Aaf,"Summa theologica, P. 2",,,344 Bl.,,,,,,,
1066965439,Aaf,Quaestiones super duodecim libros Metaphysicae Aristotelis,,,116 Bl.,,,,,,,
1066965455,Aa,Historia Romana,P. 2,,136 Bl.,,,,,,,
1066965463,Aaf,Opera,,,178 Bl.,,,,,,,
1066965471,Aaf,Ad Philocratem de septuaginta interpretibus,,,32 Bl.,,,,,,,
106696548X,Aaf,De animalibus,,,252 Bl.,,,,,,,
1066965544,Aaf,Breviarium practicae,,,146 Bl.,,,,,,,
1066965560,Aa,Gnotosolitos sive Speculum conscientiae,,,472 Bl.,,,,,,,
1066965595,Aaf,Summa de casibus conscientiae,,,433 Bl.,,,,,,,
1066965609,Aa,Summa de casibus conscientiae,,,516 Bl.,,,,,,,
1066965617,Aaf,Auctoritates Aristotelis et aliorum philosophorum,,,52 Bl.,,,,,,,
1066965633,Aaf,Confessiones,,,144 Bl.,,,,,,,
1066965641,Aaf,De arte praedicandi,,,22 Bl.,,,,,,,
106696565X,Aaf,"De arte praedicandi [= De doctrina Christiana, liber 4]",,,22 Bl.,,,,,,,
1066965676,Aa,De civitate dei,,,274 Blätter,,,,,,,
1066965684,Aaf,De civitate dei,,,248 Bl.,,,,,,,
1066965692,Aa,De civitate dei,,,268 Bl.,,,,,,1268949655,Qd
1066965706,Aa,De civitate dei,,,256 Bl.,,,,,,,
1066965714,Aaf,De civitate Dei,,,365 Bl.,,,,,,,
1066965730,Aaf,De civitate Dei,,,264 Bl.,,,,,,,
1066965749,Aaf,De duodecim abusionum gradibus,,,8 Bl.,,,,,,,
1066965765,Aaf,De sancta virginitate,,,22 Bl.,,,,,,,
1066965773,Aa,De trinitate,,,86 Bl.,,,,,,1268949655,Qd
1066965781,Aa,De trinitate,,,92 Bl.,,,,,,1268948691,Qd
106696579X,Aaf,De vanitate saeculi,,,24 Bl.,,,,,,,
1066965803,Aaf,De virtute Psalmorum,,,8 Bl.,,,,,,,
1066965811,Aaf,De vita Christiana,,,56 Bl.,,,,,,,
106696582X,Aa,Epistolae,,,264 Bl.,,,,,,,
1066965838,Aaf,Explanatio psalmorum,P. 1-3,,P. 1: 164 Bl. - P. 2: 194 Bl. - P. 3: 192 Bl.,,,,,,,
1066965846,Aaf,Manuale,,,14 Bl.,,,,,,,
1066965854,Aaf,Opus quaestionum,,,286 Bl.,,,,,,,
1066965862,Aaf,Opuscula plurima,,,274 Bl.,,,,,,,
1066965870,Aaf,Quinquaginta,,,92 Bl.,,,,,,,
1066965889,Aaf,Sermo super orationem dominicam,,,8 Bl.,,,,,,,
1066965897,Aaf,Sermones ad fratres in eremo,,,172 Bl.,,,,,,,
1066965927,Aaf,Sermones ad heremitas. [Enth. außerdem:] Homiliae duae,,,108 Bl.,,,,,,,
1066965935,Aaf,Sermones,,,414 Bl.,,,,,,,
1066965943,Aaf,Super I. et II. Decretalium,,,P. 1: 277 Bl. - P. 2: 304 Bl.,,,,,,,
1066965951,Aaf,Expositio mysteriorum missae,,,24 Bl.,,,,,,,
1066965978,Aaf,Summa casuum conscientiae,,,568 Bl.,,,,,,,
1066965994,Aaf,Parthenice prima sive Mariana,,,70 Bl.,,,,,,,
1066966001,Aaf,De proprietatibus rerum,,,322 Bl.,,,,,,,
106696601X,Aa,De proprietatibus rerum,,,300 Bl.,,,,,,,
1066966028,Aaf,De proprietatibus rerum,,,200 Bl.,,,,,,,
1066966060,Aaf,Casus decretorum,,,190 Bl.,,,,,,,
1066966087,Aaf,Confessionale,,,174 Bl.,,,,,,,
1066966095,Aa,Confessionale,,,104 Bl.,,,,,,,
1066966109,Aaf,Interrogatorium sive confessionale,,,152 Bl.,,,,,,,
1066966117,Aaf,Super I. parte Infortiati,,,222 Bll.,,,,,,,
1066966125,Aaf,Super prima parte Codicis,,,250 Bl.,,,,,,,
1066966133,Aaf,Super secunda parte Codicis,,,215 Bl.,,,,,,,
1066966141,Aaf,De legendis antiquorum libris sive De liberalibus studiis,,,18 Bl.,,,,,,,
1066966168,Aaf,Liber Bibliae moralis,,,304 Bl.,,,,,,,
1066966176,Aaf,Liber Bibliae moralis,,,266 Bl.,,,,,,,
1066966214,Aaf,Mariale,,,378 Bl.,,,,,,,
1066966222,Aaf,De contractibus et usuris,,,170 Bl.,,,,,,,
1066966230,Aaf,Sermo de gloriosa Virgine Maria,,,26 Bl.,,,,,,,
1066966249,Aa,Sermones de festivitatibus Virginis gloriosae,,,108 Blätter,,,,,,1193133629,Qd
1066966257,Aaf,Epistolae [u. a.],,,90 Bl.,,,,,,,
1066966265,Aaf,Sermones de tempore et de sanctis,,,224 Bl.,,,,,,,
1066966273,Aa,Sermones de tempore et de sanctis,,,214 Bl.,,,,,,,
1066966281,Aaf,Sermones de tempore et de sanctis et De diversis,,,235 Bl.,,,,,,,
1066966311,Aaf,Sermones super Cantica canticorum,,,202 Bl.,,,,,,,
106696632X,Aaf,Speculum de honestate vitae,,,8 Bl.,,,,,,,
1066966338,Aa,Speculum de honestate vitae,,,10 Bll.,,,,,,,
1066966346,Aaf,Heptalogos,,,24 Bl.,,,,,,,
1066966362,Aaf,De felicitate,,,20 Bl.,,,,,,,
1066966419,Aa,"Biblia, lat.",,,"242, 239, insg. 481 Blätter",,,,,,,
1066966427,Aaf,"Biblia, lat.",,,496 Bl.,,,,,,,
1066966435,Aaf,"Biblia, lat.",,,"242, 239 [insg. 481] Bl.",,,,,,,
106696646X,Aaf,"Biblia, lat.",,,481 Bl.,,,,,,,
1066966478,Aa,"Biblia, lat.",,,456 Bl.,,,,,,,
1066966486,Aaf,"Biblia, lat.",,,436 Bl.,,,,,,,
1066966508,Aa,"Biblia, lat.",,,582 Bl.,,,,,,,
1066966524,Aaf,"Biblia, lat., 36zeilig",,,P. 1 (Gn-Ps): 446 Bl. - P. 2 (Prv-Apc): 438 Bl.,,,,,,,
1066966540,Aa,"Biblia, 42zeilig",,,P. 1: 324 Blätter - P. 2: 319 Blätter,,,,,,,
1066966575,Aa,"Biblia, lat.",,,P. 1: 299 Bl. - P. 2: 292 Bl. - P. 3: 244 Bl. - P. 4: 272 Bl.,,,,,,,
1066966613,Aa,"Biblia, lat.",,,P. 1: 424 Bl. - P. 2: 338 Bl. - P. 3: 318 Bl. - P. 4: 352 Bl.,,,,,,1066941572,Qd
1066966621,Aa,"Biblia, lat.",,,P. 1: 424 Bl. - P. 2: 338 Bl. - P. 3: 318 Bl. - P. 4: 352 Bl.,,,,,,,
1066966656,Aaf,"Biblia, lat.",,,468 Bl.,,,,,,,
1066966680,Aa,"Biblia, lat.",,,508 Bl.,,,,,,,
1066966729,Aaf,Epitoma expositionis sacri canonis missae,,,78 Blätter,,,,,,,
1066966737,Aa,Sacri canonis missae expositio,,,350 Bl.,,,,,,,
1066966753,Aaf,Aurea Biblia sive Repertorium aureum Bibliorum,,,160 Bl.,,,,,,,
1066966761,Aa,Die @güldene Bibel,,,218 Bl.,,,,,,,
1066966796,Aaf,Roma instaurata,,,P. 1: 60 Bl. - P. 2: 94 Bl.,,,,,,,
106696680X,Aaf,De duobus amantibus,,,12 Bl.,,,,,,,
1066966818,Aa,Genealogiae deorum,,,355 Bl.,,,,,,,
1066966826,Aaf,De consolatione philosophiae,,,192 Bl.,,,,,,,
1066966842,Aaf,Von dem trost der weißheit,,,109 Bll.,,,,,,,
1066966850,Aaf,De disciplina scholarium,mit Komm.,,76 Bl.,,,,,,,
1066966869,Aaf,De trinitate,,,4 Bl.,,,,,,1268948691,Qd
1066966877,Aaf,Collectio florum Decretorum,,,152 Bll.,,,,,,,
1066966885,Aa,Breviloquium,,,69 Bl.,,,,,,,
1066966923,Aaf,Meditationes vitae Christi,,,72 Bl.,,,,,,,
1066966931,Aaf,Opuscula,,,288 Bl.,,,,,,,
106696694X,Aaf,Sermones mediocres de tempore,,,188 Bl.,,,,,,,
1066966958,Aaf,Soliloquium,,,25 Bl.,,,,,,,
1066966966,Aaf,Speculum Beatae Mariae Virginis,,,51 Bl.,,,,,,,
1066966990,Aaf,Liber sextus Decretalium,,,201 Bl.,,,,,,,
1066967008,Aaf,Liber sextus Decretalium,,,162 Bl.,,,,,,,
1066967016,Aaf,Liber sextus Decretalium,,,162 Bl.,,,,,,1269230115,Qd
1066967113,Aa,Speculum sapientiae,,,61 Bl.,,,,,,,
1066967148,Aaf,Cronecken der Sassen,,,284 Blätter,,,,,,,
1066967156,Aaf,Vocabularius rerum,,,56 Bl.,,,,,,,
1066967172,Aaf,Stultifera navis,,,160 Bl.,,,,,,,
1066967202,Aaf,Breviarium Moguntinum,,,,,,,,,,
1066967210,Aaf,Die @heiligen Reisen gen Jerusalem,,,194 Bll.,,,,,,,
1066967229,Aaf,De bello Italico adversus Gothos,,,74 Bl.,,,,,,,
1066967261,Aaf,Corona aurea,,,208 Bl.,,,,,,,
106696727X,Aaf,De vita et moribus philosophorum,,,94 Bl.,,,,,,1268961159,Qd
1066967288,Aaf,Buch von dem Leben und Sitten der heydnischen Maister,,,164 Bl.,,,,,,,
1066967342,Aaf,Opera,,,386 Bl.,,,,,,,
1066967350,Aaf,"Sermones de adventu, etc.",,,174 Bll.,,,,,,,
1066967369,Aa,"Sermones de adventu, Sermo de S. Joseph, Sermo de beatitudine, Sermones de divina caritate, Sermones de immortalitate animae. Enth. außerdem: Dominicus Bollanus: De conceptione B.  of Sixtus IV of 27 Feb. 1476 (GW)",,,118 Bl.,,,,,,,
1066967377,Aaf,Sermones quadragesimales de peccatis,,,202 Bl.,,,,,,,
1066967385,Aa,Sermones quadragesimales de poenitentia,,,P. I: 290 Bl.; P. II: 22 Bl.,,,,,,,
1066967393,Aa,Sermones quadragesimales de poenitentia. Sermo in festo annuntiationis virginis Mariae Ne timeas Maria ... . Sermo de praedestinatorum numero et damnatorum. Sermo de catenis [1-2],,,"268 Bl., 22 Bl.",,,,,,,
1066967407,Aaf,Expositio in Psalterium,,,340 Bl.,,,,,,,
1066967415,Aaf,Historia ecclesiastica tripartita,,,195 Bl.,,,,,,,
1066967431,Aaf,De inventione sive Rhetorica vetus,,,"P. 1 (De inventione): 49 Bl. , P. 2 (Rhetorica): 48 Bl.",,,,,,,
106696744X,Aa,De inventione sive Rhetorica vetus,,,130 Bl.,,,,,,,
1066967458,Aaf,De natura deorum,,,P. 1: 32 Bl. - P. 2: 22 Bl. - P. 3: 18 Bl. - P. 4: 16 Bl. - P. 5: 46 Bl.,,,,,,,
1066967466,Aaf,De officiis,,,158 Bl.,,,,,,,
1066967474,Aaf,Epistolae ad familiares,,,136 Bl.,,,,,,,
1066967482,Aaf,Constitutiones,,,76 Bl.,,,,,,1269230115,Qd
1066967539,Aaf,Compendium iuris canonici,,,156 Bl.,,,,,,,
1066967555,Aa,Sermones de sanctis,,,248 Bl.,,,,,,,
1066967563,Aa,Sermones de sanctis,,,192 Bl.,,,,,,,
106696758X,Aa,Sermones de tempore,,,394 Bl.,,,,,,,
1066967598,Aaf,Fabularius seu Repertorium vocabulorum,,,148 Bl.,,,,,,,
1066967601,Aaf,Concordantiae bibliorum,,,417 Bl.,,,,,,,
106696761X,Aal,Concordantiae bibliorum,,,418 Bl.,,,,,,,
1066967636,Aaf,Constitutiones congregationis Bursfeldensis ordinis S. Benedictini sive Cerimoniale monachorum ord. S. Benedicti,,,112 Bl.,,,,,,,
1066967644,Aaf,Cordiale quattuor novissimorum,,,68 Bl. (das letzte leer),,,,,,,
1066967652,Aaf,Corpus iuris civilis. Codex Justinianus,,,324 Bl.,,,,,,,
1066967660,Aaf,Corpus iuris civilis. Digesta Iustiniani. Infortiatum,,,338 Bl.,,,,,,,
1066967679,Aaf,Corpus iuris civilis. Digestum novum,,,356 Bll.,,,,,,,
1066967695,Aaf,Ruralia commoda,,,148 Bl.,,,,,,,
1066967709,Aa,Speculum sapientiae,,,46 Bl.,,,,,,1268951293,Qd
1066967725,Aaf,La @Commedia,,,"10 ungezählte Blätter, 297 römisch gezählte Blätter, 1 ungezähltes Blatt",,,,,,,
106696775X,Aaf,"Dialogus inter Hugonem, Catonem, et Oliverium super libertate ecclesiastica",,,14 Bl.,,,,,,,
1066967768,Aaf,Bibliothecae historicae libri VI,,,128 Bl.,,,,,,,
1066967776,Aaf,Vitae et sententiae philosophorum,,,96 Bl.,,,,,,,
1066967784,Aaf,Specula omnis status vitae humanae,,,118 Bl.,,,,,,,
1066967806,Aaf,Directorium statuum seu verius Tribulatio seculi,,,36 Bl.,,,,,,,
1066967830,Aaf,Commentarii in Iuvenalem,,,114 Bl.,,,,,,,
1066967857,Aaf,Ars minor,mit deutscher Interlinearglosse,,30 Bl.,,,,,,,
1066967873,Aaf,Quaestiones in quattuor libros Sententiarum,,,P. 1: 130 Bl. - P. 2: 82 Bl. - P. 3: 58 Bl. - P. 4: 140 Bl.,,,,,,,
1066967881,Aaf,Quodlibeta,,,116 Bl.,,,,,,,
1066967903,Aaf,Rationale divinorum officiorum,,,217 Bl.,,,,,,,
1066967911,Aaf,Rationale divinorum officiorum,,,269 Bl.,,,,,,,
106696792X,Aaf,Rationale divinorum officiorum,,,257 Bl.,,,,,,,
1066967938,Aaf,Rationale divinorum officiorum,,,360 Bl.,,,,,,,
1066967954,Aaf,Rationale divinorum officiorum,,,199 Bl.,,,,,,,
1066967962,Aaf,Rationale divinorum officiorum,,,198 Bl.,,,,,,,
1066967970,Aaf,Rationale divinorum officiorum,,,276 Bl.,,,,,,,
1066967997,Aa,Rationale divinorum officiorum,,,160 Blätter,,,,,,,
1066968020,Aaf,Sermones dominicales super epistolas Pauli,,,P. 1: 356 Bl. - P. 2: 352 Bl.,,,,,,1066941572,Qd
1066968039,Aaf,Eingang der Himmel,,,116 Bl.,,,,,,,
1066968047,Aaf,Soliloquium,,,8 Bl.,,,,,,,
1066968055,Aaf,Sermones,,,20 Bl.,,,,,,,
1066968098,Aaf,Chronicon,,,182 Bl.,,,,,,,
106696811X,Aa,Historia ecclesiastica,,,172 Bl.,,,,,,,
1066968128,Aaf,Epistola de morte Hieronymi,,,70 Bl.,,,,,,,
1066968136,Aaf,Commentarius in Institutiones,,,142 Bl.,,,,,,,
1066968144,Aaf,De Christiana religione,,,84 Bl.,,,,,,,
1066968179,Aaf,Opusculum repertorii prognosticon in mutationes aeris,,,50 Bl.,,,,,,,
1066968187,Aaf,Sententiarum variationes sive Synonyma,[lat.-deutsch],,108 Bl.,,,,,,,
1066968217,Aaf,Formulare und deutsch Rhetorica,,,90 Bl.,,,,,,,
1066968225,Aaf,"Opus restitutionum, usurarum, excommunicationum",,,174 Bl.,,,,,,,
106696825X,Aaf,Lectura super Clementinis,,,216 Bl.,,,,,,,
1066968268,Aaf,Grammatica,,,247 Bl.,,,,,,,
1066968276,Aa,Schatzbehalter der wahren Reichtümer des Heils,,,354 Bl.,,,,,,,
1066968314,Aaf,Malogranatum,,,216 Bl.,,,,,,,
1066968322,Aaf,Epistolae,,,60 Bl.,,,,,,,
1066968330,Aa,Epistolae,,,54 Bl.,,,,,,,
1066968349,Aa,Noctes Atticae,,,192 Bl.,,,,,,,
1066968373,Aaf,Cordiale quattuor novissimorum,mit Exempla,,42 Bl.,,,,,,,
1066968381,Aaf,De spiritualibus ascensionibus,P. 1-3,,"104, 112, 88 Bl.",,,,,,,
106696839X,Aaf,Declaratio modi et formae venditionis et emptionis reddituum perpetuorum et vitalium,,,44 Bl.,,,,,,,
1066968403,Aaf,Conclusiones de diversis materiis moralibus,,,40 Bl.,,,,,,,
1066968411,Aa,Conclusiones de diversis materiis moralibus sive De regulis mandatorum,,,"20 Bl., 1 einseitig bedr. Karton nach Bl. 16",,,,,,,
106696842X,Aa,Conclusiones de diversis materiis moralibus sive De regulis mandatorum,,,26 Bl.,,,,,,,
1066968438,Aaf,De meditatione cordis. De modo orandi. De valore orationis et de attentione,,,56 Bl.,,,,,,,
1066968446,Aaf,De pollutione nocturna,,,16 Bll.,,,,,,,
1066968454,Aaf,De spiritualibus nuptiis sive Opusculum super Cantica canticorum,,,40 Bl.,,,,,,,
1066968527,Aaf,Decretum,,,413 Bl.,,,,,,,
1066968535,Aaf,Decretum,,,460 Bl.,,,,,,,
1066968551,Aa,Decretum,,,413 Bl.,,,,,,,
106696856X,Aa,Decretum,,,381 Bl.,,,,,,,
1066968594,Aaf,Decretum,,,338 Bll.,,,,,,,
1066968616,Aa,Decretum,,,460 Bl.,,,,,,,
1066968632,Aaf,Dialogorum libri quattuor,,,58 Bl.,,,,,,,
1066968667,Aaf,Moralia sive Expositio in Job,,,421 (oder 422) Bl.,,,,,,,
1066968675,Aa,Moralia sive Expositio in Job,,,348 Bl.,,,,,,,
1066968721,Aaf,Pastorale sive Regula pastoralis,,,152 Bl.,,,,,,,
106696873X,Aa,Pastorale sive Regula pastoralis,,,42 Bl.,,,,,,,
1066968748,Aaf,Regula pastoralis,,,106 Bl.,,,,,,,
1066968756,Aaf,Decretales,,,387 Bl.,,,,,,,
1066968764,Aaf,Decretales,,,305 Bl.,,,,,,,
1066968780,Aa,Decretales,,,314 Bl.,,,,,,,
1066968810,Aaf,Decretales,,,305 Bl.,,,,,,,
1066968829,Aaf,Lucubratiunculae,,,42 Bl.,,,,,,,
1066968837,Aaf,De ordine docendi ac discendi,,,12 Bl.,,,,,,,
1066968845,Aaf,Rosarium decretorum,,,404 Bl.,,,,,,,
1066968853,Aal,Rosarium decretorum,,,416 Bl.,,,,,,,
1066968861,Aaf,Manipulus curatorum,,,112 Bll.,,,,,,,
106696887X,Aaf,Postilla super epistolas et evangelia,,,278 Bl.,,,,,,,
106696890X,Aa,Opera,,,282 Bl.,,,,,,,
1066968918,Aaf,Postilla super epistolas et evangelia,,,230 Bl.,,,,,,,
1066968926,Aa,Postilla super epistolas et evangelia,,,212 Bl.,,,,,,,
1066968934,Aaf,Rhetorica divina,,,58 Bl.,,,,,,,
1066968950,Aaf,Diaeta salutis,,,70 Bl.,,,,,,,
1066968977,Aaf,Sermones de tempore et de sanctis,,,P. 1: 130 Bl. - P. 2: 162 Bl. - P. 3: 98 Bl.,,,,,,,
1066968993,Aaf,Postilla super epistolas et evangelia,,,126 Bl.,,,,,,,
1066969000,Aa,Postilla super epistolas et evangelia,,,186 Bl.,,,,,,,
1066969027,Aaf,De quattuor virtutibus cardinalibus,,,148 Bl.,,,,,,1268950440,Qd
1066969035,Aaf,Expositio super Ave Maria,,,14 Bl.,,,,,,,
1066969051,Aaf,Summa super titulis Decretalium,,,P. 1: 352 Bl. - P. 2: 312 Bl. - P. 3/4: 460 Bl. - P. 5: 410 Bl.,,,,,,,
1066969086,Aaf,Speculum aureum decem praeceptorum Dei,,,408 Bl.,,,,,,,
1066969094,Aaf,Elucidarius scripturarum,,,204 Bl.,,,,,,,
1066969124,Aaf,Liber Discipuli de eruditione Christifidelium,,,248 Bl.,,,,,,,
1066969132,Aa,Liber Discipuli de eruditione Christifidelium,,,136 Bl.,,,,,,,
1066969159,Aa,Epistolae,,,224 Bl.,,,,,,,
1066969183,Aaf,Epistolae,,,408 Bl.,,,,,,,
