idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1000888347,Aal,1763,"[Lumpensammel-Ordnung] ... Verkauff des Druck- und Schreib-Pappiers ausser Lands ... verbotten, ...","Daß die Pappierer ihre bestellende Lumpen-Sammler ... bedeuten, von denen im Land ersammlenden Lumpen ... nicht ausser Lands zu verkauffen, ... ; Stuttgart, 4. Mai 1763",,,,,,,,
1000914798,Afl,1827,,,"Sammlung von Gesetzen, Verordnungen und Vorschriften, welche die Kaufmannschaft, Gewerbe u. Handwerker betreffend, seit dem Jahre 1817 bis Ende des Jahres 1826 durch das Masowische Amtsblatt bekannt gemacht sind",T. 2,,,,,,
1000972240,Afl,1830,Schaab,Karl Anton,Die @Geschichte der Erfindung der Buchdruckerkunst durch Johann Gensfleisch genannt Gutenberg zu Mainz,1,,,,,,
1000972283,Afl,1830,Schaab,Karl Anton,Die @Geschichte der Erfindung der Buchdruckerkunst durch Johann Gensfleisch genannt Gutenberg zu Mainz,2,,,,,,
1000984974,Afl,1797,Schad,Georg Friedrich Casimir,Bibliothecae Schadianae pars ...,1.,Complectens libros ex omni disciplinarum genere,,,,,
100098513X,Afl,1797,Schad,Georg Friedrich Casimir,Bibliothecae Schadianae pars ...,2.,"Complectens mappas geographicas, itemque tabulas aeri buxoque incisas",,,,,
1000985717,Aal,1740,"Entwurff und Beschreibung von der Papiermacherey, worinnen der Ursprung des Papiermachens, der Fortgang, wie heutigen Tages des Papier gemacht wird, wie solches viele Mühe und Arbeit hat, benebst denen bey den Papiermachern befindlichen Wörter, denen Kayserlichen Verordnungen und andern dahin einschlagenden Dingen, Zum Druck befördert",,,,,,,,,
1000986845,Afl,1774,Schadeloock,August Martin,Catalogus bibliothecae quam ... Augustin Martin Schadeloock ... collegit,"1, 1.",Libri theologici,,,,,
1000986896,Afl,1774,Schadeloock,August Martin,Catalogus bibliothecae quam ... Augustin Martin Schadeloock ... collegit,"1, 2",,,,,,
1000986969,Afl,1775,Schadeloock,August Martin,Catalogus bibliothecae quam ... Augustin Martin Schadeloock ... collegit,2,,,,,,
1000999467,Aal,1822,"Practical Hints on decorative printing, with illustrations engraved on wood, and printed in colours and the type press",,,,,,,,,
1001006291,Afl,1765,Schaeffer,Jacob Christian,Jacob Christian Schäffers Versuche und Muster ohne alle Lumpen oder doch mit einem geringen Zusatze derselben Papier zu machen,1.,Frontispiz,,,,,
1001006356,Afl,1766,Schaeffer,Jacob Christian,Jacob Christian Schäffers Versuche und Muster ohne alle Lumpen oder doch mit einem geringen Zusatze derselben Papier zu machen,2,,,,,,
1001007921,Afl,1770,Schaeffer,Jacob Christian,"Proefnemingen en monster-bladen om papier te maaken zonder lompen, of met een gering byvoegzel derzelven",1,,,,,,
1001008065,Afl,1770,Schaeffer,Jacob Christian,"Proefnemingen en monster-bladen om papier te maaken zonder lompen, of met een gering byvoegzel derzelven",2,,,,,,
1001027094,Aal,1672,[Kleiderordnung] ...,"Abmahnungen und Verboten ... der leidige Pracht und Überfluß bey Mann und Weibspersonen, so wohl in Kleidungen, ... [Erlaß d.] Senatus [v.] Nürnberg vermutlich",,,,,,,,
100103970X,Afl,1788,Schelhorn,Johann Georg,Anleitung für Bibliothekare und Archivare,1,,,,,,
1001039769,Afl,1788,Schelhorn,Johann Georg,Anleitung für Bibliothekare und Archivare,2,,,,,,
1001043294,Hal,1829,"[Geschäftsbuch der Firma Schellenberger, 1829 - 1851",,,,,,,,,
1001074874,Afl,1821,,,[Erste Teilprobe der am 24.6.1819 von Johann Andreas Gottfried Schelter u. Christian Friedrich Giesecke gegründeten Schriftgießerei],[a.],Anzeige,,,,,
100107503X,Afl,1821,,,[Erste Teilprobe der am 24.6.1819 von Johann Andreas Gottfried Schelter u. Christian Friedrich Giesecke gegründeten Schriftgießerei],[b.],Preis-Courant,,,,,
1001135334,Aal,1816,Verzeichniß der von dem verstorb. Königl. Münzdirektor Herrn Schlegel und anderen hinterlassenen Sammlungen von Büchern ... welche ... den 19ten Februar u. f. Tage d. J. ... versteigert werden sollen,,,,,,,,,
1001170261,Aal,1741,Hoch verdiente und aus bewährten Urkunden wohlbeglaubte Ehren-Rettung Johann Guttenbergs,,,,,,,,,
1001198794,Aal,1810,Catalogus bibliothecae D. Caroli[i] Ferdin[andi] Schmidii ... cum appendice librorum ex omni scientiarum genere Vitebergae die 11. et seqq. Februarii 1811 in aedibus defuncti auctione publica divendendae,,,,,,,,,
1001204875,Aal,1798,"Verzeichnis von verschiedenen Büchern, Landkarten, Pretiosen, Porcellain ... des weil. Senator Schmidts, welche allhier zu Freyberg künftigen 4. Junii 1798 u. folgende Tage ... nach Auctionsgebrauch an die meistbietenden ... überlassen werden sollen",,,,,,,,,
1001255461,Aal,1799,Slavischer Bücherdruck in Würtemberg in 16. Jahrhundert,,,,,,,,,
100125600X,Aal,1764,"Vorschriften zum Versuch, eine nach heutigen Geschmack eingerichtete ungezwungene Hand zu schreiben",,,,,,,,,
