idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1075738385,Pa,16XX,"[Einbanddecke, dunkelrotes Maroquin mit schwarzer Bemalung und reicher Vergoldung ""à l'éventail""]",,,,,,,,,
1075739020,Ha,15XX,"Nos Pascalis Ciconia dei gra. dux venetiar. et.c. commettemo a te, Nobel. homo Domenego Bon ...","[Auftrag über die Verwaltung von Friaul, ausgefertigt für Domenego Bon]",,,,,,,,
1075744318,Pa,17XX,"[Einbanddecke, dunkelrotes Maroquin mit schwarzer Bemalung und reicher Vergoldung im Rokokostil]",,,,,,,,,
107625943X,Pa,17XX,"[Einbanddecke, Kalbleder mit Vergoldung, Fächermuster (à l'eventail), Vorsatz Modeldruckpapier, dreifarbiger Druck, florales Dekor]",,,,,,,,,
107625991X,Pa,1736,"[Einbanddecke, bemaltes Pergament mit Vergoldungen, Vorsatz Brokatpapier mit goldfarbener Reliefierung auf schabloniertem Papier]",,,,,,,,,
1076289770,Pa,14XX,[Bucheinband-Fragment],"[gotischer Bucheinband, Kalbleder mit Blinddruck Stempel und Schrift aus Einzelbuchstaben um Vorder- und Hinterdeckel:] Das buoch bij der schlicheri[n] suh[?] ha cz ingemacht Richenbach",,,,,,,,
1081848057,Aa,179X,Gott ist die reinste Liebe,mein Gebeth und meine Betrachtung,,,,,,,,
1081927623,Aa,1766,"Biblia, Det er Den gandske Hell. Skriftes Bøger","Ved Hans Kongel. Majests. Vor Allernaadigste Arve-Herres, Kong Christian den Syvendes Christelige Omsorg, Med Fliid og efter Grund-Texten efterseete og reitede, Saa og med Paralleler forsynede",,,,,,,,
1084030063,Pa,150X,Buchdecke eines Ledereinbandes mit Blindprägung,Holzdeckel mit Lederdecke und Makulaturresten,,,,,,,,
1084138298,Pa,14XX,Buchdecke eines Ledereinbandes mit Blindprägung,Holzdeckel mit Lederdecke und Makulaturresten,,,,,,,,
1084221578,Pa,15XX,Teil einer Leder-Buchdecke mit Blindprägung,,,,,,,,,
1084242052,Pa,1565,Leder-Buchdecke mit Blindprägung,,,,,,,,,
1093237635,Aa,1705,Dend @Forordnede Ny Kircke-Psalme-Bog,"efter Hans Kongl. Majestets Allernaadigste Befalning, af de fornemste Geistlige i Kiøbenhafn, til Guds Tieniste paa Søndagene, Fæsterne, Bede-Dagene, og til anden gudelig Brug i Kircken, udi Danmarck og Norge, af gamle Aanderige Sange, ordentlig indrettet og flitteligen igiennemseet, og med mange ny Psalmer forbedret, og iligemaader efter Konglig Befalning til Trykken befordret",,,,,,,1093239727,Qd
1093239549,Pa,1705,"[Samteinband mit Silberfiligranbeschlägen, Dänemark nach 1705]",,,,,,,,1093239727,Qd
1093239727,Qd,17XX,"Dänische Andachtsbücher im Samteinband mit Silberfiligranbeschlägen, um 1700",,,,,,,,,
1093426144,Pa,17XX,Pergament-Buchdecke mit Fragment einer mittelalterlichen Handschrift,,,,,,,,,
1101482508,Aa,1699,"M. Casper Neumanns Kerne af I. Alle Bønner i Almindelighed, II. Alle Morgen- og Aften-Bønner, III. Alle Poenitense-Bønner, IV. Alle Communion-Bønner fordansket af Ahasv. Barthol",,,,,,,,1093239727,Qd
1101489448,Aa,1708,En @fuldkommen Bonne-Bog,,,,,,,,1093239727,Qd
1101490055,Aa,1710,"Collecter, Epistler og Evangelier som paa alle Søn-Fest -og Hellige Dage Aaret igiennem i Danmarck og Norge udi Kirkerne lœsis",efter den ny udgangne Alter-Bog udi denne Format til hver Mands Nytte tryckte,,,,,,,1093239727,Qd
1117111989,Aa,1791,"Himmlisches Jerusalem, Im mittlern Druck","Welches durch die Würckung des H. Gebetts starck belagert, und durch Macht und Gewalt desselben glücklich erobert wird: Oder vollständiges Gebett-Buch, darinnen sehr kräfftige, tröstliche und auserlesene Morgens- und Abends- Meß- und Vesper- Beicht- und Communion-Gebetter ... begriffen sind",,,,,,,,
120870768X,Aa,1618,The @Whole Booke of Psalmes,,,,,,,,1137969644,Qd
1225969255,Af,1830,Staat Hannover,,Staats- und Adresskalender für das Königreich Hannover,1831,,,,,,
