idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1064850960,Qd,1481,[Hagiographische Sammelhandschrift mit Texten zur Heiligen Elisabeth von Thüringen],,,,,,1222562618,,,
1064853412,Ha,1481,Dis ist das Leben und die Legend der seligen Sanct Elysabethen des edlen Kunges Tochter von Ungarn die da gemehlet wart von Gottes Ordnung und Willen dem edlen Fürsten und Lantgrafen Ludwig von Thüringen,,,,,,,,1064850960,Qd
1064854265,Ha,1481,Dis noch geschriben ist der sequencý Gaude Syon von der edlen kúnginen vnd heiligedn froewen sanct Elýsabeth,Froewe dich syon dz do von dir yß ist gegangen die gezierde aller heilikeit,,,,,,,1064850960,Qd
1064854362,Ha,1481,Ein @gebëtt von der hochgelobten himmel fúrstinnen vnd lantgrëfinen sanct Elysabeth,,,,,,,,1064850960,Qd
1064854419,Ha,1481,Lob du tochter syon fröwe dich vnd erspring froelich,,,,,,,,1064850960,Qd
1064854478,Ha,1481,Sanct Jheronimus vnd Sanct Augustinus sprechent …,,,,,,,,1064850960,Qd
1064854583,Ha,1481,Gebet von der heiligen Elisabeth,,,,,,,,1064850960,Qd
1064855571,Ha,1481,"[Über den Tod von Margarethe von Ungarn, Bruder Hermann (Dominikaner), Hedwig von Schlesien, Johannes von Wildeshausen]",,,,,,,,1064850960,Qd
106547556X,Ha,1550,[Niederländisches Andachts- und Gebetbuch],,,,,,1072654156,,,
1065479042,Ha,09XX,[Quattuor evangelia],,,,,,,,,
1065481845,Ha,09XX,[Quattuor evangelia],,,,,,,,,
1066674175,Haf,18XX,[Sammelhandschrift],,,,,,,,,
1066686718,Haf,1917,Laß mich schweben!,"[Gedicht, evt. verf. von Johanna Theodora Lotze, geb. Elsner]",,,,,,,,
1066699739,Haf,XXXX,"[Yao-Handschrift, illustriert, im ursprünglichen chinesischen Charakter]",,,,,,,,,
1066759618,Haf,1975,"[Leporello aus Nord-Burma, Shan-Staat","Shan-Schrift, eine Variante der birmanischen Rundschrift]",,,,,,,,
1066759626,Haf,1980,[Palmblattbuch aus Birma],[birmanische Rundschrift],,,,,,,,
1066873364,Haf,1883,Gesangbuch für die evangelisch-lutherische Landeskirche des Königreichs Sachsen,,,,,,,,,
1066942021,Haf,1700,"Wie das Haupt ist, sollen billich auch die Glieder seyn. Wie der Herr, so die Knechte, wie der Vater, so die Kinder",[barockes Schreib-Übungsheft],,,,,,,,
1066942072,Haf,1788,"Auserlesene Morgengebete, so wie sie von einer Person gebetet werden","im Namen Gottes Vaters und des Sohnes und des heiligen Geistes, Amen",,,,,,,,
1066956405,Ha,1250,"Blatt aus einer lateinischen Bibel, 1. Buch der Chronik, Perlbibel",,,,,,1230989757,,,
1066956456,Haf,1946,An Lili Schönemann,,,,,,,,,
1066956669,Haf,1946,Sieben Gedichte,,,,,,,,,
1066956758,Haf,1946,Acht Gedichte,,,,,,,,,
1066956766,Ha,1948,Diotima. Der Abend. Abbitte. Hälfte des Lebens. Der Tod,,,,,,,,,
1066957193,Haf,1401,Dēania s[ve]t'ih' ap[osto]l',,,,,,,,,
1066957215,Haf,15XX,[Euchologion],[Griechisch-orthodoxe Gebetsammlung mit Appendix Gesänge ; nachbyzantinische Handschrift],,,,,,,,
1066973431,Haf,14XX,Fragment einer liturgischen (?) Handschrift,,,,,,,,,
