idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1066968020,Aaf,Sermones dominicales super epistolas Pauli,,,,,,,,1066941572,Qd
1066968063,Aaf,Plenarium,,,,,,,,,
1066968098,Aaf,Chronicon,,,,,,,,,
1066968101,Aaf,Historia ecclesiastica,,,,,,,,,
1066968160,Aaf,Epistolae,,,,,,,,,
1066968195,Aaf,De claris mulieribus,,,,,,,,,
1066968276,Aa,Schatzbehalter der wahren Reichtümer des Heils,,,,,,,,,
1066968284,Aaf,Compendium de origine et gestis Francorum,,,,,,,,,
1066968365,Aaf,In librum de homine Martii Galeotti opus,,,,,,,,,
1066968489,Aa,Opera,,,,,,,,,
1066968500,Aa,Opera,,,,,,,,,
1066968519,Aaf,De confutatione hebraicae sectae,,,,,,,,,
1066968578,Aa,Decretum,,,,,,,,,
1066968586,Aa,Decretum,,,,,,,,,
1066968608,Aa,Decretum,,,,,,,,,
1066968624,Aaf,Dialogi [etc.],,,,,,,,,
1066968683,Aa,Moralia sive Expositio in Job,,,,,,,,,
1066968691,Aa,Moralia sive Expositio in Job,,,,,,,,,
1066968705,Aa,Moralia sive Expositio in Job,,,,,,,,,
1066968780,Aa,Decretales,,,,,,,,,
1066968799,Aa,Decretales,,,,,,,,,
1066968802,Aa,Decretales,,,,,,,,,
1066968942,Aaf,Diaeta salutis,,,,,,,,,
1066968985,Aaf,Summa de virtutibus et vitiis,,,,,,,,,
1066969019,Aaf,Oratio funebris in Fridericum Bavariae Ducem,,,,,,,,,
106696906X,Aa,"Sermones de tempore, de sanctis, de tribus partibus poenitentiae et de adventu",,,,,,,,,
1066969140,Aa,Sermones Discipuli de tempore et de sanctis,,,,,,,,,
1066969221,Aaf,Homiliarius doctorum de tempore et de sanctis,,,,,,,,,
1066969272,Aaf,Compendium theologicae veritatis,,,,,,,,,
1066969302,Aaf,Sermones dominicales super evangelia et epistolas,,,,,,,,,
1066969310,Aaf,Postilla super evangelia,,,,,,,,,
1066969434,Aaf,Postillae de tempore et sermones,,,,,,,,,
1066969442,Aa,Sermones de sanctis,,,,,,,,,
1066969485,Aaf,Etymologiae,,,,,,,,,
1066969590,Aaf,Epitome Historiarum Trogi Pompei,,,,,,,,,
1066969647,Aa,Liber decretorum sive Panormia,,,,,,,,,
1066969698,Aa,Sermones dominicales,,,,,,,,,
106696971X,Aaf,Legenda aurea sanctorum sive Lombardica historia,,,,,,,,,
1066969728,Aaf,Legenda aurea sanctorum sive Lombardica historia,,,,,,,,,
1066969736,Aaf,Legenda aurea sanctorum sive Lombardica historia,,,,,,,,,
1066969744,Aaf,Legenda aurea sanctorum sive Lombardica historia,,,,,,,,,
1066969817,Aaf,Additiones ad Durantis speculum iudiciale,,,,,,,,,
1066969841,Aaf,Novella super VI. Decretalium,,,,,,,,,
1066969892,Aaf,Quaestiones in IV libros Sententiarum seu Libri IV defensionum theologiae Thomae Aquinatis /Johannes Capreolus. Hrsg.: Thomas de Sancto Germano,,,,,,,,,
1066969957,Aa,Summa confessorum,,,,,,,,,
1066969973,Aaf,Poeniteas cito,,,,,,,,,
1066970009,Aa,Sphaera mundi,,,,,,,,,
1066970211,Aa,Catholicon,,,,,,,,,
106697022X,Aa,Catholicon,,,,,,,,,
1066970270,Aaf,Mammotrectus super Bibliam,,,,,,,,,
1066970289,Aaf,Mammotrectus super Bibliam,,,,,,,,,
1066970300,Aaf,Mammotrectus super Bibliam,,,,,,,,,
1066970327,Aaf,Quaestiones super libros Ethicorum Aristotelis,cum textu,,,,,,,,
1066970432,Aa,Die @Cronica van der hilliger stat van Coellen,,,,,,,,,
1066970483,Aaf,Copulata veteris artis Aristotelis,,,,,,,,,
1066970521,Aaf,"Sermones de sanctis, Biga salutis intitulati",,,,,,,,,
106697053X,Aa,"Sermones dominicales, Biga salutis intitulati.",,,,,,,,,
1066970556,Aaf,Sophologium,,,,,,,,,
1066970564,Aaf,Lehre und Unterweisung wie ein junger Mensch sich in Ehrbarkeit und guten Sitten erhalten soll,,,,,,,,,
1066970580,Aaf,Quadragesimale aureum,,,,,,,,,
1066970629,Aaf,Libri venales Venetiis impressi,[Bücheranzeige (Buchführeranzeige)],,,,,,,,
1066970793,Aaf,Margarita Davitica seu Expositio psalmorum,,,,,,,,,
1066970815,Aaf,"Oratio continens dictiones, clausulas et elegantias oratorias",,,,,,,,,
106697084X,Aa,Sermones de tempore et de sanctis sive Hortulus reginae,,,,,,,,,
1066970858,Aa,Sermones de tempore et de sanctis sive Hortulus reginae,,,,,,,,,
1066970904,Aaf,Revelationes divinae a sanctis angelis factae,,,,,,,,,
