idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
362471193,Aal,1781,Epistolae de priapismo sive propudiosa Cleopatrae libidine,Josephi Scaligeri versiones graecae duorum priapeiorum et index in kunia Carmina,,,,,,,,,in: Priapeia sive diversorum poetarum in priapum lusus ...
368779629,Aal,1904,Die @Betätigung der Hof- und Staatsdruckerei auf dem Gebiet des Buchdrucks,,,,,,,,,,in: Zur Feier des einhundertjährigen Bestandes der K.K. Hof- und Staatsdruckerei
573232164,Aal,1920,Die @Geschichte von den drei Derwischen,Der erwachte Schläfer,,,,,,,,,"in: Schlaefer, Der erwachte"
573446350,Aal,1935,"Gesetz über die Schätzung des Kulturbodens (Bodenschätzungsgesetz, BodSchätzG) vom 16. Oktober 1934",,,,,,,,,,in: Vermoegensteuergesetz vom 16. Okt. 1934
573510245,Aal,1932,Buch und Geist,"Nach e. Festvortr. anläßlich d. 100jähr. Firmenjubiläums d. Buchhdlg Gräfe u. Unzer, Königsberg Pr.",,,,,,,,,in: Morgenfeier im Schauspielhaus zu Königsberg Pr. am 3. Jan. 1932 aus Anl. d. 100 jähr. Namensjubiläums d. Buchh. Gräfe u. Unzer. 1932
574271740,Aal,1924,Ein @Gottfried Keller Büchlein [geschrieben],,,,,,,,,,"in: Keller, Gottfried : Ein Gottfried Keller Büchlein [Werke, Ausz.]"
993854249,Aal,1665,Abdanckungen,gehalten unterschiedenen Standes-Personen von vornehmen Theologis,,,,,,,,,in: Leich-Abdankungen denen erlauchten fürstlichen Personen ...
993856195,Aal,1730,Notes upon the twelve books of paradise lost,,,,,,,,,,"in: Milton, John: The poetical works [Teils.]"
993856268,Aal,1731,Notes upon the twelve books of paradise lost,,,,,,,,,,"in: Milton, John: Teils. London 1731"
993860427,Aal,1925,Die @Bedeutung der Abonnenten-Versicherung der deutschen illustrierten Wochenblätter für den Zeitschriftenbuchhandel,,,,,,,,,,"in: Der Buch- und Zeitschriftenhandel. Jg. 46. 1925, Nr 18, S. [337] - 340"
993860494,Aal,1924,Kurze Geschichte der Abonnenten-Versicherung der deutschen Familienblätter,,,,,,,,,,"in: Der Buch- und Zeitschriftenhandel. Jg. 45. 1924, Nr 21 S, [701] - 706"
993861164,Aal,1959,"Saggio di un Catalogo delle edizioni del ""Decretum Gratiani"" posteriori al secolo XV.",,,,,,,,,,in: Studia Gratiana. 6
