idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
100114855X,Aal,"[Historische Erzehlung von dem Hoch-Fürstl. Sächs berühmten Berg-Schloß und Festung Wartburg, ob Eisenach]",Beschreibung des Schloßes Wartburg ob Eisenach,,,,,,,,,in: Staat des Fürstenthums Eisenach
100114872X,Aal,"Catalogus aliquot librorum, qui propriis sumtibus prodierunt ut et in copia habendi sunt apud Georgium Marcum Knoch, bibliopolam Dantiscanum",,,,,,,,,,"in: Załuski, Josef: Programma litterarium ad bibliophiles ..."
1001148878,Aal,Aus der Papiermühle in der Dombach,ein Beitrag zur Geschichte bergischer Familien,,,,,,,,,"in: Monatsschrift des Bergischen Geschichtsvereins. 24(1917),1, S. 1-12"
1001150910,Aal,Untersuchung von dem guten Geschmack in der Dicht- und Redekunst,,,,,,,,,,"in: Canitz, Friedrich Rudolf Ludwig: Gedichte"
1001163494,Aal,"Joh[ann] Gottlob Immanuel Breitkopf, Buchdrucker und Buchhändler in Leipzig",Den 28. Jan.,,,,,,,,,"in: Schlichtegroll: Nekrolog auf das Jahr 1794. Jg. 5, Bd. 1. 1796"
100116475X,Aal,Maria Luise Weidmann,[Nachricht über die von ihr hinterlassenen Legate],,,,,,,,,"in: Schlichtegroll: Nekrolog auf das Jahr 1793. Jg. 4, Bd 2. 1795"
1001173708,Aal,Die @Radierung,,,,,,,,,,"in: Die technischen Kurse der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 4. - Verbess. Nachdr. aus: Archiv für Buchgewerbe. 1908, H. 9"
1001174402,Aal,Literatur und Jugendgefährdung,,,,,,,,,,in: Zum gesetzlichen Kampf gegen die Schundliteratur
100117447X,Aal,Körperschaftsteuergesetz vom 16. Okt. 1934,,,,,,,,,,in: Einkommensteuergesetz vom 16. Okt. 1934
1001174658,Aal,Läsning - last eller dygd,,,,,,,,,,in: Last eller dygd
1001183177,Aal,Jubel-Postulats-Prologus,,,,,,,,,,"in: Münden, Christian: Danck-Predigt, ..."
1001193350,Aal,Gesamt-Verlagskatalog der Hahnschen Buchhandlung in Hannover und Leipzig,,,,,,,,,,"in: Thielen, Herbert von: 125 Jahre des Geschäftshauses Hahnsche Buchhandlung in Hannover"
1001195760,Aal,Die @deutsche Graphik der Gegenwart,,,,,,,,,,in: Graphik-Katalog. Deutsche Buch- und Graphik-Ausstellung in Südamerika
1001211685,Aal,Die @Entwicklung der sächsischen Kultur,,,,,,,,,,"in: Schmidt, Otto Eduard, u. Jean Louis Sponsel: Bilder-Atlas zur sächsischen Geschichte"
1001212282,Aal,Des @Heiligen Jobs Bleyern Schreib-Täfflein,"zu Lob der edlen Drucker-Kunst, erkläret [... wowen vnd wer solche werthe Kunst erfunden]",,,,,,,,,"in: Hornschuch, Hieronymus. [Orthotypographia, dt.] 1634. [Faks.-]Neudr. Leipzig 1940"
1001212355,Aal,Des @Heiligen Jobs Bleyern Schreib-Täfflein,"zu Lob der edlen Drucker-Kunst, erkläret [... wowen vnd wer solche werthe Kunst erfunden]",,,,,,,,,"in: Hornschuch, Hieronymus. [Orthotypographia, dt.] 1634"
