idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
1002162815,Aal,Beschreibung von der Stadt Basel,,,,,,,,,,"in: Totentanz [Basler Version, dt. u. franz.]"
1002179602,Aal,Vom Stein der Weisen,,,,,,,,,,"in: Flamel, Nicolaus: [Figures hiéroglyphiques, comme il les a mises en la 4e arche du Cimetière Saints Innocens de Paris, dt.] o. O. 1669"
1002179637,Aal,Vom Stein der Weisen,,,,,,,,,,"in: Flamel, Nicolaus: [Figures hiéroglyphiques, comme il les a mises en la 4e arche du Cimetière Saints Innocens de Paris, dt.] o. O. 1669"
1002180104,Aal,"De laudibus calvitij, Joanne Phrea Birtanno interprete, cum scholijs Beati Rhenani",,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: Moriac encomicum, id est stulticiae laudatio, ludicra declamatione tractata"
1002181399,Aal,"Tibère, discours politiques sur Tacite du Sieur De La Mothe-Josseval, DʹAronsel",,,,,,,,,,"in: Amelot de la Houssaie, Abraham Nicolas: Tibère, discours politiques sur Tacite. - [Ausz.]"
1002188563,Aal,Kuma no shûren,,,,,,,,,,"in: Kano, Mitsuo: Budodan - henzai hoi ni s tsuite. Tokyo 1973"
1002209390,Aal,"Tarif für die Buchdrucker-Gehülfen zu Leipzig, gültig vom 1. Juli 1848 an bis auf Widerruf",,,,,,,,,,in: Statut für die Buchdrucker-Innung zu Leipzig. (1854)
1002223369,Aal,Missae propriae novissimae pro dioecesi Augustana,,,,,,,,,,in: Missale romanum
1002257948,Aal,An @Essay on satirical fiction [and life of Jonathan Swift],,,,,,,,,,"in: Swift, Jonathan: Travels into several remote nations of the world by Lemuel Gulliver"
1002268915,Aal,Kongl[iga] Bibliotekets Samling af Svenska brefvexlingar,,,,,,,,,,"in: Handlingar, Kung[liga] Bibliotekets. 2."
1002272351,Aal,"Die @Belehnungen der deutschen Fürsten durch Maximilian I. auf dem Reichstag zu Worms, am 14. Juli 1495",,,,,,,,,,in: Drei Früchdrucke zur Reichsgeschichte. 1938
1002272483,Aal,"Erwählung Maximilians zum Römischen König zu Frankfurt a.M., am 16. Februar 1486",,,,,,,,,,in: Drei Früehdrucke zur Reichsgeschichte. 1938
1002272556,Aal,Der @Theuerdank nach der 2. Ausg. von 1519 mit den sämlt. 118 Holzschn. in verjüngtem Maßstabe,,,,,,,,,,"in: Scheible, J.: Das Kloster, weltlich und geistlich. Bd. 4. Zelle 13"
1002272750,Aal,Der @Verlag Johann Ambrosius Barth seit 1890,Bericht und zugleich Selbstschilderung,,,,,,,,,"in: Barth, Johann Ambrosius, Leipzig 1780. 1930"
1002332354,Aal,Theocriti Syracusii Idylla et epigrammata quae extant,,,,,,,,,,"in: Casaubonus, Isaac: Theocriticarum lectionum libellus"
1002332494,Aal,Bibliographische Zusammenstellung der gedruckten Schriften Butzerʹs,,,,,,,,,,in: Zur 400 jährigen Geburtsfeier Martin Butzerʹs
1002332524,Aal,Vom deutschen Sortimentsbuchhandel,,,,,,,,,,in: Merkbuch [d.] Görres-Buchh. Saarbrücken
1002332591,Aal,"Litteratum latinarum, quas italicas, cursoriasque vocat, scribendaru ratio",,,,,,,,,,"in: Osley, A. S.: Mercator"
1002332621,Aal,"Repugnantia, qua pro Galeno strenue pugnatur",,,,,,,,,,"in: Guilandinus, Melchior: Papyrus"
1002333083,Aal,Caractères,,,,,,,,,,"in: La Bruyére, Jean de: Les Caractères"
1002333415,Aal,Geschichte der Papierbetriebe in Niederösterreich,,,,,,,,,,in: Gutenberg-Jahrbuch 1934. S. 28 - 61. 4°
1002385377,Aal,[Exempel oft materie boeck om te leeren schrijven in diursche manieren,"door mij Meester Jacob Thijssens den ii. Julij Anno 1699] ; [Handgeschrieb. Schreibvorlagen in d. Abfolge eines vorgedruckt. Holzschn.-Initial-Alphabetes ; Thʹs Besitzvermerk auf d. vergebund. Pergmtumschlag aus zeitgenöss. Hs. Makulatur u. auf d. Holzschn.-Titel:] ""Meester Jacobus Thijssens hoort dit boc Anno 1698 den 16d c. briss""",,,,,,,,,"in: Vollevens, Isaac: Nouvel ABC. Antwerpen: Jac. de Bodt. kl. qu. 8"
1002390613,Aal,Opera,,,,,,,,,,"in: Catullus, Gaius Valerius: Opera [Werke]"
1002437547,Aal,"Pest-Ordnung, oder der gantzen Gemein nutzlicher Bericht und Gutachten von der ...",Pestilentz in genere,,,,,,,,,in: Pestbeschreibung und Infectionsordnung. Wien 1727
1002437644,Aal,"Libri II.,  de legibus, et de senatu",,,,,,,,,,"in: Rosinus, Johannes: Antiquitatum Romanarum corpus absolutissimum"
1002452511,Aal,A @Dictionary of printers and printing,,,,,,,,,,"in: Siegfried, Laurance B.: William Bulmer and the Shakespeare Press. - [Ausz., Neudr.]"
1002456339,Aal,Annales typographici,ab artis inventae origine ad annum 1664,,,,,,,,,"in: Leich, Johann Heinrich: De origine et incrementis typographiae Lipsiensis liber singularis. 1740"
1002472318,Aal,Conjectura verosimilis de prima typographiae inventione,,,,,,,,,,in: Toland: A Collection of several pieces. [Teils]
1002476003,Aal,"Der @Curiose Mahler, welcher nicht allein alle Zubereitung so wol der Oehl- als Wasser-Farben; sondern auch ... lehret",,,,,,,,,,in: Der curiose Schreiber
1002482879,Aal,Historie der Stadt Eisenach,,,,,,,,,,in: Staat des Fürstenthums Eisenach
100248328X,Aal,Herr und Knecht,,,,,,,,,,"in: Tolstoj: Die Kreutzersonate [Krejcerova sonata, dt.] Berlin 1924"
1002485614,Aal,Les @remonstrances de nature à lalchymiste errant,,,,,,,,,,"in: Transformation, de la, metallique, trois anciens tractez"
1002489792,Aal,Philosophia S. Scripturae,,,,,,,,,,"in: Spinoza, Baruch de: Tractatus theologico-politicus"
100248989X,Aal,A @descriptive Catalogue of the William Pyle Philips Collection,,,,,,,,,,in: William Pyle Philipps Collection in the Haverford College Library. Haverford 1952. 8°
1002489911,Aal,Mineralogie,,,,,,,,,,in: Geologie und Paläontologie
1002494877,Aal,"Manuale de preparatione ad mortem, das ist",Sonderlicher Handgriff zur heilsamen Trostbereitung,,,,,,,,,in: Moeller: Praxis evangeliorum
1002494974,Aal,"Soliloquia, das ist",Heilige Betrachtung des Lebens und Sterebens unseres Herrn und Heilandes Jesu Christi,,,,,,,,,in: Moeller: Praxis evangeliorum
100250712X,Aal,Welcher Farbton soll den farbigen Druck umgeben?,,,,,,,,,,in: Berger & Wirth: Konvolut betr. Druckfarbenherstellung u. -Anwendung. Nr. 6
1002510694,Aal,Die @Missaldrucke Peter Schöffers und seines Sohnes Johann,,,,,,,,,,in: Veröffentlichungen der Gutenberg-Gesellschaft. 5 - 7
1002510767,Aal,Brief an Wolfgang Hopl,1505,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1002563631,Aal,Danielis Guil. [Wilhelm] Molleri Dissertatis de typographis,,,,,,,,,,"in: Zeltner, Gustav Georg: Kurtz-gefaßte Historie der gedruckten Bibel-Version und anderer Schriften D. Mart. Lutheri, in der Beschreibung der Lebens und fatorum Hanns Lufft ... 1727"
1002564921,Aal,"Übereinkunft, betreffend die Bildung eines internationalen Verbandes zum Schutze von Werken der Litteratur und Kunst",,,,,,,,,,"in: Dambach, Otto: Welche Förmlichkeiten müssen von den deutschen Urhebern und Verlegern beobachten werden, um den Schutz gegen Nachdruck, Nachbildung, Übersetzung ... zu erlangen?"
100256509X,Aal,"Uebereinkunft der schweizerischen Buchhandlungen betreffend den Verkehr unter einander, mit dem Publikum und mit Wiederverkäufern",,,,,,,,,,in: Satzungen. Schweizerischer Buchhändler-Verein
1002603714,Aal,Probe einer neuen Art Deutscher Lettern,,,,,,,,,,"in: Bogeng, Gustav Adolf Erich: Die Unger-Fraktur. Heidelberg 1922"
1002609763,Aal,Poggi Florentini Epistola ad Leonardum Aretinum de morte Hieronymi Hus Bohemi,,,,,,,,,,in: Pius II. Papa: Cosmographia [Historia rerum ubique gestarum]
1002613698,Aal,"Krippen Bad Schandau und Friedrich Gottlob Keller, der Erfinder des Holzschliffs",,,,,,,,,,"in: Heimatblätter, Sächsische. 6 (1960), 7. S. 452 - 453. 8°"
1002636817,Aal,Subasta de mi biblioteca,,,,,,,,,,"in: Nodier, Charles: El bibliomano [Le Bibliomane, span.]"
1002659620,Aal,"Catalogue des livres, qui se trouvent chès Boudouin Jansson Vander Aa, Marchand libraire à Leide",[Verlagsanzeige],,,,,,,,,"in: Barbier, Marie-Anne: Les tragédies et autres poésies. Nouv. éd. Leide: Boudouin Jansson Vander Aa 1719. kl. 8°"
100268188X,Aal,Censura in Berosum,,,,,,,,,,"in: Nanni, Giovanni: Historia antiqua"
1002682509,Aal,Institutions militaires,,,,,,,,,,in: Vegetius Renatus: De re militari
1002686733,Aal,Diatribe de origine et incrementis artis typographicae in urbe Augusta Vindelica,,,,,,,,,,"in: Zapf, Georg Wilhelm: Annales typographiae Augustanae ab ... 1466 usque ad 1530"
1002692296,Aal,Zu den Bücheranzeigen Peter Schöffers,,,,,,,,,,in: Veröffentlichungen der Gutenberg-Gesellschaft. 5 - 7
100269860X,Aal,The @Art of printing,,,,,,,,,,"in: Morison, Stanley: The typographic Arts"
1002700639,Aal,"Rapport de la séance extraordinaire, du 12 juin 1813 à lʹacadémie des sciences, arts et belles-lettres, de Dijon",,,,,,,,,,"in: Leschevin: Rapports lus à lʹacadémie des sciences, arts et belles-lettres, de Dijon. 1815"
1002700744,Aal,Brief an Erasmus von Rotterdam,1532,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1002701708,Aal,Epistola Thomae Mori ad Martino Dorpio,,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: Encomium moriae. Amsterdam 1629"
1002701767,Aal,Fragmenta quarundam Tho. Mori Epistolarum ad Erasmus Rot. & ad Ioannem Coc.,,,,,,,,,,in: Nicolaus I. Papa: Antiqua et insignis Epistola Nicolai Pape I. ad Michaelem Imperatorem
1002701805,Aal,[Werke],,,,,,,,,,"in: Bion. - [Werke, griech. u. franz. Idyllia]. - Les Idylles de Bion et de Moschus. - [Griech. u. franz.]"
1002739462,Aal,Bucolicon eclogae decem,,,,,,,,,,in: Vergilius: Ländliche Gedichte [lat. u. dt.]
1002740355,Aal,Vergessenes aus der Papierindustrie,,,,,,,,,,"in: Der Papiermarkt. 9. (1908), 4. S. 59 - 60. 4°"
1002740533,Aal,In dominicam precem commentariolum,,,,,,,,,,"in: Vergilius, Polydorus: De rerum inventoribus libri octo"
1002763037,Aal,Verlagskatalog der Bonifacius-Druckerei,,,,,,,,,,"in: Schroeder, J. W.: Promemoria über die Bonifacius-Druckerei ..."
1002774845,Aal,"Vollständiges Verlags-Verzeichnis der Buchhandlung Evangelischer Schriftenvereins A.-G., Karlsruhe i. B., 1883 - 1933",,,,,,,,,,"in: Flügel, Hermann: 50 Jahre Buchhandlung Evangelischer Schriftenverein A.G., ... Karlsruhe i.B."
1002776457,Aal,Le @docteur Ox,,,,,,,,,,in: Verne: Le Tour du monde en quatre-vingts jours
1002782589,Aal,Aventures de 3 Russes et de 3 Anglais,,,,,,,,,,in: Verne: Une ville flottante
1002783666,Aal,Le @Chancellor,,,,,,,,,,in: Verne: Les Index - Noires
1002784328,Aal,"Verordnung über die Annahme, Ausbildung und Prüfung der Volontäre für den wissenschaftlichen Bibliotheksdienst",vom 21. März 1932,,,,,,,,,in: Sächsischen Gesetzblatt. 1932. Nr. 10
1002784549,Aal,Les @Forceurs de blocus,,,,,,,,,,in: Verne: Une ville flottante
1002801923,Aal,Versuch über die Geschichte der Erfindung der Buchdruckerkunst zu Mainz,,,,,,,,,,"in: Zapf, Georg Wilhelm: Aelteste Buchdruckergeschichte von Mainz ... 1790"
1002805449,Aal,Vertrag zwischen dem Börsenverein der Deutschen Buchhändler und der Deutschen Bücherei,,,,,,,,,,in: Gesetz über die Deutsche Bücherei
100283046X,Aal,"Verzeichnis der Veröffentlichungen über Forschungsarbeiten, die mit Unterstützung der Helmholtz-Gesellschaft durchgeführt worden sind",,,,,,,,,,in: Die Helmholtz-Gesellschaft zur Förderung der physikalisch-technischen Forschung im zwanzig Jahren ihres Wirkens
1002832268,Aal,Verzeichnis der in der Edition Peters erschienenen Werke Beethovens,,,,,,,,,,"in: Zum März 26., 1927"
1002837898,Aal,Briefe an den Handschriftenhändler Vespasiano Philippi (Filius) in Florenz,1450 - 1463,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
100285511X,Aal,Der @sterbende Socrates,,,,,,,,,,"in: Hofmann von Hofmannswaldau, Christian: Deutsche Ubersetzungen und Getichte [Teils.] 1679"
100291633X,Aal,"Lyst der boeken, in de Nederlanden gedrukt voorʹt jaar 1500",,,,,,,,,,"in: Meerman, Gerard: Uitvinding der boekdrukkunst [Origines typographicae ..., niederl.]"
1002916550,Aal,"Notice chronologique et raisonnée des livres avec et sans date, imprimés avant lʹannée 1501, dans les 17 provinces des Pays-Bas",,,,,,,,,,"in: Meerman, Gerard: De lʹInvention de lʹimprimerie ... [Origines typographicae et conspectus originum typographicarum ... frz.]"
1002917867,Aal,Pauli Vindingii ad virum amplissimum Johannem Deckherrum Epistola de scriptis nonnullis adespotis,,,,,,,,,,"in: Deckherr, Johannes: De scriptis adespotis, pseudepigraphis, et supposititiis, Conjecturae. Ed. 2. 1681"
1002919908,Aal,Georgii Andreae Vinholdi Programma de quibusdam notis et insignibus bibliopolarum et typographorum,,,,,,,,,,"in: Roth-Scholtz, Friedrich: Thesaurus symbolorum ac emblematum ... 1730"
1002919940,Aal,"Ioannis Ludovici Vivis de conscribendis epistolis, ad Idiaqueum à secretis Caroli V.",,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: De conscribendis epistolis"
1002925665,Aal,Vocabularium barbaro-virgineorum,,,,,,,,,,"in: Luther, Martin: Cathechismus [Katechismus, schwed. u. virgin.] oefwersatt pa American-Virginske spraket"
1002926025,Aal,Das @Zürcherische Diptychon des Consuls Areobindus,,,,,,,,,,in: Zur Feier des 50jährigen Amtsjubiläums Herrn Heinrich Escher ... überreicht
100297710X,Aal,O[dd] V[olumes],"a bibliography of the privately printed opuscula, issued to the Members of the Sette of Odd Volumes",,,,,,,,,"in: Thompson, William Mort: Report of a conversazione given at Willi's Rooms, ... June 8th, 1886"
1003008585,Aal,Churfürstl. Sächs. gnädigst-confirmirte Vormundschaft-Ordnung des Raths zu Dreßden,,,,,1063400406,,,,,"in: Statuta. - Der Chur-Fürstlichen Sächsischen Residenz-Stadt Dreßden Statuta und Stadt-Recht, sammt angehängten Ordnungen"
1003009077,Aal,Lʹ @Essai sur la poésie épique,,,,,,,,,,in: Voltaire: La Henriade
1003011381,Aal,Les @Mensonges officieux,,,,,,,,,,in: Défense des libraires hollandois contre les mensonges imprimez de Mr. de Voltaire
1003036562,Aal,Reise und Beschreibung der Isthmi oder Erd-Enge Darien in Americâ,,,,,,,,,,"in: Dampier, William: Die Reise um die Welt [Voyages and descriptions, dt.]"
1003044107,Aal,Confiskable Erzählungen,,,,,,,,,,in: Rheinischer Most
1003048722,Aal,Leipzig als Buch- und Druckstadt,das Werk Gutenbergs in Mainz,,,,,,,,,in: 1440 - 1940. (... Programme d. Leipziger Theater. 21.-23.6.1940. Hrsg. v. Oberbürgermeister d. Reichsmessestadt.) Leipzig 1940
1003150462,Aal,"Iustiniani imperatoris vita, ex variis auctoribus opera Aegidii Perrini",,,,,,,,,,"in: Corpus iuris civilis. Institutiones. Imp. Iustiniani institutionum ..., libri quatuor. Lyon: Horatius Cardon 1604. 2°"
1003171192,Aal,"Lipsia paradisus, hoc est collatio Academiae Lipsiensis cum paradiso, in memoriam reformationis secularis ...",,,,,,,,,,in: Weber: Evangelische Leipzig oder kurtzer Bericht von der Stadt Leipzig Reformation und Bekehrung ... 1698
100317339X,Aal,Euryanthe,,,,,,,,,,in: Weber: Der Freischütz
1003174264,Aal,Oberon,,,,,,,,,,in: Weber: Der Freischütz
1003175333,Aal,Stammtafel der Familie Wechel in Frankfurt a.M.,,,,,,,,,,in: Das Hanauische Magazin. 1782 u. 1785. [Abschr.]
1003193889,Aal,Bilder aus dem Kalender des Albrecht Glockendon des Jahres 1526 nach dem Besitze der Preußischen Staatsbibliothek befindlichen Original,,,,,,,,,,in: Zeitgloecklein. 1942
1003251633,Aal,Einführung in die Literatur zur Geschichtsschreibung des deutschen Buchhandels,,,,,,,,,,"in: Der deutsche Buchhandlungsgehilfe. Jg. 5. 1937, Nr. 2"
1003261892,Aal,"Die @Glückseeligkeit, so aus dem funfzehenden Jahrhundert sich über die folgende Zeiten ausgebreitet",,,,,,,,,,in: Stargardisches Buchdruckerjubilaeum wie es im hiesigen illustren Gröningischen Collegio wegen der vor dreyhundert Jahren erfundenen edlen Buchdrucker-Kunst ... begangen worden
1003272215,Aal,Epistolae contrariae,,,,,,,,,,"in: Melanchthon, Philipp: Elementorum rhetorices libri duo"
1003287026,Aal,Maßsystem und Schrift,,,,,,,,,,in: Wetzl: Einrichtung und Arbeitsgeräte in der Setzerei. 1943
100328714X,Aal,Der @Titelbogen,,,,,,,,,,in: Wetzl: Das Buch
1003294642,Aal,A @latin Sermon,,,,,,,,,,in: A short History of the [Sion] College
1003294898,Aal,Künstlerische Schriftformen und Schreibwerkzeuge,,,,,,,,,,"in: Das Schriftmuseum von Heintze & Blanckertz, Berlin. [Abt.] Kunstschrift. [Sammelhefter]"
1003324657,Aal,Wie dachte Luther ueber den Buecher-Nachdruck?,,,,,,,,,,in: Berlinische Monatsschrift. Bd. 8. 1786
1003348408,Aal,"In Nürnberg bei Christoph Weigel entstandene Monatsbilder von Caspar Luyken, eingel.",,,,,,,,,,in: Zeitglöcklein. 1940
1003373356,Aal,"[Ordnung und Reformation, ... wie es in unsern Fürstenthumben ... im Kirchen-Regiment ... gehalten werden sol]",,,,,,,,,,"in: Agenda, das ist: Kirchen Ordnung, wie es im Fürstenthumb Hessen mit Verkündigung göttlichen Worts ... gehalten werden soll. 1657"
1003374441,Aal,"Ordnung, ... wie es mit unserem zu Cassel besteltem Consistorio ... gehalten ... werden soll",,,,,,,,,,"in: Agenda, das ist: Kirchen Ordnung, wie es im Fürstenthumb Hessen mit Verkündigung göttlichen Worts ... gehalten werden soll"
1003374697,Aal,Presbyterial- oder Eltisten-Ordnung,,,,,,,,,,"in: Agenda, das ist: Kirchen Ordnung, wie es Fürstenthumb Hessen mit Verkündigung göttlichen Worts ... gehalten werden soll. 1657"
1003405649,Aal,Decreti Gratiani Incunabula,Beschreibendes Gesamtverzeichnis der Wiegendrucke des Gratianischen Dekretes,,,,,,,,,in: Studia Gratiana. 6
100340586X,Aal,Kurze Geschichte der Altdorfischen Buchdruckerei,,,,,,,,,,"in: Museum Noricum. Altdorf 1759, Nr. 4, S. 25 - 32"
1003406874,Aal,"Warhafftiger und gründlicher Bericht von der Wünschel-Ruthen, wie solche vor einigen Jahren zu Sulza an der Ilmen, bey Ausgehung eines Saltzquells ... gebraucht worden",,,,,,,,,,"in: Der heimliche und unerforschliche Natur-Kuendiger, oder accurate Beschreibung von der Wünschel-Ruthe"
1003408095,Aal,In Cantica canticorum paraphrasis gemina,acc. varia lectiones ... Johannis Schilteri nec non Johannis Georgii Scherzii,,,,,,,,,"in: Schilter, Johannes: Thesaurus antiquitatum Teutonicarum ... T. 1. 1728"
1003427502,Aal,"Von märkischen Formschneidern und in der Mark gedruckten Büchern, in welchen sich Holzschnitte befinden",,,,,,,,,,"in: Unger, Johann Friedrich Gottlieb: Sechs Figuren für die Liebhaber der schönen Künste, in Holz geschnitten"
100344380X,Aal,Justiz und Presse,"Vortrag ; Gehalten anl. d. Tagung: ""Behörde und Presse"" im Forschungsinstitut für internationales Pressewesen, Köln, am 4. Juli 1930",,,,,,,,,"in: Claren, Gerhard: Justiz und Presse"
1003474004,Aal,Industrie du livre,,,,,,,,,,in: Exposition universelle de 1900. Catalogue officiel de la Section Allemande. (Berlin 1900: Impr. Impér.) 8°
1003515894,Aal,"Threehundredandfifty years Retrospection of an old bookseller; containing an account of the origin and progress of printing, type founding, and engraving, in their various branches; also the origin of the earliest books, pamphlets, magazines, reviews, periodical essays and newspapers; with biographical anecdotes a. portraits        ",,,,,,,,,,in: [Woodfall:] Fifty years Recollections of an old bookseller. 1837
1003559913,Aal,Depositio Cornuti Typographici,"das ist Lust=oder Freuden=Spiel, welches bey Annehmung und Bestättigung eines Jungen Gesellen, der die Edle Kunst Buchdruckerey redlich hat ausgelernet ohne einige Aergernüsse kan agiret u. fürgestellet werden",,,,,,,,,"in: Schmatz, Daniel Michael: Neu=vorgestelltes ... Format-Buch. 1984; nicht im VD17"
1003586759,Aal,Vita Davidis Ruhnkenii,,,,,,,,,,in: Vitae duumvirorum Tiberii Hemsterhusii et Davidis Ruhnkenii
1003652751,Aal,Nachrichten über die [Kölner] Drucker,,,,,,,,,,"in: Heitz, Paul: Die Kölner Büchermarken bis Anfang des 17. Jahrhunderts. 1898"
1003653189,Aal,Die @42zeilige Bibeltype im Schöfferschen Missale Moguntinum von 1493,,,,,,,,,,in: Veröffentlichungen der Gutenberg-Gesellschaft. 5 - 7
1003659756,Aal,Künstlerische Buchreklame,,,,,,,,,,"in: Kliemann, Horst: Die Werbung fürs Buch. 1925"
1003660622,Aal,Die @Kultur des Bucheinbandes,,,,,,,,,,"in: Zeitler: 75 Jahre Gebr. Hoffmann, Großbuchbinderei"
1003666809,Aal,"Newe zeittung von dem lande, das die Sponier funden haben ym 1521 iare, genant Jucatan",,,,,,,,,,"in: Bockwitz, Hans Heinrich Zur ʺNeuen Zeitungʺ aus dem Lande Jucatan vom Jahre 1522"
1003700934,Aal,"Kurtze Nachricht von dem Leben und Fatis Hanns Luffts, berühmten Buchdruckers zu Wittenberg",,,,,,,,,,"in: Moller, Daniel Wilhelm: Dissertatio de Typographia. 1727"
100373989X,Aal,Einführung,[Die Bedeutung auf dem Gebiete der Druckkunst ... betr. die neue Buchkunstbewegung],,,,,,,,,in: Gebr. Klingspor: Liturgisch. Nach Zeichnungen von Otto Hupp. Offenbach a.M. [1909.] 4° [Schriftprobenhand]
1003837662,Aal,"Cosmographiae sive Atlantis majoris, tam Blaviani quam Janssoniani, brevis conspectus",,,,,,,,,,"in: Beughem, Cornelis à: Bibliographia mathematica et artificiosa novissima ..."
1003896898,Aal,"[Handschriftliche Notiz, Wielands sämtliche Werke betreffend]",,,,,,,,,,"in: Göschen, Georg Joachim: Verlags-Bücher bey ..., Buchhändler zu Leipzig. Oster-Messe 1801. kl. 8°"
